participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
17,\LEFT,right,1,1,0.6,11,23289.0217065037,23305.7626942749,OK,LeftArrow,16.5883036024752,0,1,68255c2,1597670301,0.2
17,\RIGHT,left,9,2,0.6,5,23308.7045968525,23327.5869859987,OK,NO RESPONSE,NaN,1,0,68255c2,1597670301,0.2
17,\LEFT,right,3,3,0.6,7,23328.7477324537,23332.3301024622,OK,LeftArrow,3.44572891109419,0,1,68255c2,1597670301,0.2
17,\RIGHT,right,7,4,0.6,4,23334.9417764016,23338.4340817766,OK,RightArrow,3.36355601491232,0,1,68255c2,1597670301,0.2
17,\LEFT,left,5,5,0.6,6,23340.5055034484,23346.5694445115,OK,LeftArrow,5.91966571199373,1,0,68255c2,1597670301,0.2
17,\LEFT,right,9,6,0.6,11,23348.6007382807,23356.1556680206,OK,LeftArrow,7.46419256998342,0,1,68255c2,1597670301,0.2
17,\LEFT,left,1,7,0.6,8,23358.0769873027,23373.8272915741,OK,LeftArrow,15.6356244445851,1,0,68255c2,1597670301,0.2
17,\RIGHT,left,8,8,0.6,3,23379.1007690701,23383.543643022,OK,RightArrow,4.27566867260248,1,0,68255c2,1597670301,0.2
17,\RIGHT,left,7,9,0.6,2,23385.3248211802,23389.1973405232,OK,RightArrow,3.71545946187325,1,0,68255c2,1597670301,0.2
17,\LEFT,right,6,10,0.6,9,23390.7383679583,23396.7122718568,OK,LeftArrow,5.82974023433781,0,1,68255c2,1597670301,0.2
17,\RIGHT,right,2,11,0.6,5,23407.1392050668,23419.5672980097,OK,RightArrow,12.2764136545411,0,1,68255c2,1597670301,0.2
17,\LEFT,right,7,12,0.6,5,23421.3384472862,23425.2810411153,OK,LeftArrow,3.82908762049919,0,1,68255c2,1597670301,0.2
17,\RIGHT,right,5,13,0.6,6,23426.9021402232,23436.5784353085,OK,RightArrow,9.50514786140775,0,1,68255c2,1597670301,0.2
17,\LEFT,left,2,14,0.6,7,23438.099435166,23442.8225421633,OK,LeftArrow,4.61173642369977,1,0,68255c2,1597670301,0.2
17,\LEFT,left,8,15,0.6,1,23453.1292936074,23457.0919041473,OK,LeftArrow,3.80554794206182,1,0,68255c2,1597670301,0.2
17,\RIGHT,left,4,16,0.6,5,23458.8230233226,23464.5768185649,OK,RightArrow,5.63173200452366,1,0,68255c2,1597670301,0.2
17,\LEFT,left,9,17,0.6,9,23466.1878217791,23471.7715389733,OK,LeftArrow,5.47476298224865,1,0,68255c2,1597670301,0.2
17,\LEFT,right,8,18,0.6,2,23473.2325167712,23479.3865378625,OK,LeftArrow,5.97385228106941,0,1,68255c2,1597670301,0.2
17,\RIGHT,right,3,19,0.6,7,23481.2177430066,23490.673958112,OK,RightArrow,9.31642564427966,0,1,68255c2,1597670301,0.2
17,\RIGHT,left,1,20,0.6,6,23492.5651723359,23500.5004017711,OK,RightArrow,7.78487439145829,1,0,68255c2,1597670301,0.2
17,\RIGHT,right,1,21,0.6,1,23510.2067551267,23518.8324282668,OK,RightArrow,8.48686773129521,0,1,68255c2,1597670301,0.2
17,\LEFT,left,6,22,0.6,2,23520.4035031055,23526.2773059425,OK,LeftArrow,5.69798679800442,1,0,68255c2,1597670301,0.2
17,\RIGHT,right,10,23,0.6,10,23527.7282756868,23534.1624748855,OK,RightArrow,6.24499310559986,0,1,68255c2,1597670301,0.2
17,\RIGHT,left,6,24,0.6,1,23535.6334540961,23539.7861636207,OK,RightArrow,4.03573739929925,1,0,68255c2,1597670301,0.2
