participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
14,1,1,14,39,18,1,mouse,16,practice,name,Not Studied,go,absent,NA,30,1483236.53529414,1483236.54753969,OK,NO RESPONSE,NaN,,8,0,1,0,0,68255c2,1501254723,0.2
14,1,1,14,39,18,1,mouse,16,practice,noise,Not Studied,go,absent,\ENTER,4,1483301.8401012,1483301.84790148,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1501254723,0.2
14,1,1,14,39,18,1,mouse,16,practice,noise,Not Studied,go,absent,\ENTER,4,1483305.42011278,1483308.0617089,Return,Return,2.53377616009675,,9,1,2,0,0,68255c2,1501254723,0.2
14,1,1,14,39,18,1,mouse,16,practice,study,Not Studied,go,absent,f,NaN,1482941.61527946,1482948.34941101,OK,f,6.55967144761235,,5,0,1,0,0,68255c2,1501254723,0.2
14,1,1,14,39,18,1,mouse,16,practice,study,Not Studied,go,absent,f,NaN,1483090.927511,1483093.85934745,OK,f,2.80695921881124,,5,0,2,0,0,68255c2,1501254723,0.2
14,1,1,14,23,53,2,bucket,3,practice,name,CFS,go,present,NA,30,1483236.68762598,1483240.65004899,Return,NO RESPONSE,3.85417804867029,,2,1,1,0,0,68255c2,1501254723,0.2
14,1,1,14,23,53,2,bucket,3,practice,noise,CFS,go,present,\ENTER,4,1483310.38314702,1483314.3956253,OK,NO RESPONSE,NaN,,2,1,1,0,0,68255c2,1501254723,0.2
14,1,1,14,23,53,2,bucket,3,practice,noise,CFS,go,present,\ENTER,4,1483316.79713597,1483322.77079818,Return,Return,5.81989599624649,,2,1,2,0,0,68255c2,1501254723,0.2
14,1,1,14,23,53,2,bucket,3,practice,study,CFS,go,present,j,NaN,1482951.91159894,1482955.50382106,OK,f,3.42296250048094,,9,0.6,1,0,0,68255c2,1501254723,0.2
14,1,1,14,23,53,2,bucket,3,practice,study,CFS,go,present,j,NaN,1483096.35087828,1483098.41216309,OK,f,1.86329195857979,,9,0.6,2,0,0,68255c2,1501254723,0.2
