participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
28,\RIGHT,left,5,1,0.6,8,267701.245614326,267720.087893078,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\RIGHT,left,9,2,0.6,4,267721.168641513,267723.33001764,OK,LeftArrow,1.97578023880487,1,0,68255c2,1622112856,0.2
28,\LEFT,left,10,3,0.6,1,267727.032445956,267741.832155388,OK,RightArrow,14.6316393345478,1,0,68255c2,1622112856,0.2
28,\LEFT,right,4,4,0.6,5,267746.405147922,267750.657916248,OK,LeftArrow,4.14674393390305,0,1,68255c2,1622112856,0.2
28,\LEFT,left,1,5,0.6,5,267753.069527824,267771.951833356,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\RIGHT,left,8,6,0.6,10,267773.11259762,267791.994953562,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\LEFT,right,3,7,0.6,8,267793.155754352,267795.977563607,OK,LeftArrow,2.68319944990799,0,1,68255c2,1622112856,0.2
28,\RIGHT,left,3,8,0.6,6,267799.329768307,267818.21213089,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\RIGHT,left,6,9,0.6,8,267819.372923831,267838.255272528,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\LEFT,right,10,10,0.6,5,267839.416026228,267842.998373295,OK,LeftArrow,3.45400189323118,0,1,68255c2,1622112856,0.2
28,\LEFT,right,7,11,0.6,6,267850.46295043,267852.824870383,OK,LeftArrow,2.22280514071463,0,1,68255c2,1622112856,0.2
28,\LEFT,left,2,12,0.6,5,267855.28643831,267874.168832286,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\LEFT,left,3,13,0.6,4,267875.32958991,267894.211940116,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\RIGHT,left,4,14,0.6,11,267895.372724002,267898.86498923,OK,RightArrow,3.33612238714704,1,0,68255c2,1622112856,0.2
28,\RIGHT,right,9,15,0.6,2,267901.226537295,267903.578133452,OK,RightArrow,2.16212020412786,0,1,68255c2,1622112856,0.2
28,\LEFT,right,5,16,0.6,3,267906.379916036,267908.921607253,OK,LeftArrow,2.42472090345109,0,1,68255c2,1622112856,0.2
28,\RIGHT,left,2,17,0.6,9,267911.073010947,267928.434369144,OK,RightArrow,17.2352319707279,1,0,68255c2,1622112856,0.2
28,\RIGHT,right,10,18,0.6,3,267930.605815508,267933.337599371,OK,RightArrow,2.55837694153888,0,1,68255c2,1622112856,0.2
28,\RIGHT,right,8,19,0.6,5,267935.198804829,267937.260224485,OK,RightArrow,1.90126514114672,0,1,68255c2,1622112856,0.2
28,\LEFT,right,9,20,0.6,4,267938.830909928,267941.382860646,OK,LeftArrow,2.38107878697338,0,1,68255c2,1622112856,0.2
28,\LEFT,right,8,21,0.6,8,267945.034943215,267947.20668087,OK,LeftArrow,1.9928417740739,0,1,68255c2,1622112856,0.2
28,\RIGHT,left,7,22,0.6,9,267948.76774675,267952.350052463,OK,RightArrow,3.48393610055791,1,0,68255c2,1622112856,0.2
28,\RIGHT,left,10,23,0.6,8,267953.961108502,267960.965707588,OK,LeftArrow,6.84244899835903,1,0,68255c2,1622112856,0.2
28,\RIGHT,left,1,24,0.6,7,267962.876976557,267981.759315595,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
28,\RIGHT,right,4,25,0.6,2,267982.9201028,267984.791363703,OK,RightArrow,1.72296391730197,0,1,68255c2,1622112856,0.2
28,\RIGHT,right,7,26,0.6,1,267986.482481756,267990.615162495,OK,RightArrow,4.00847733905539,0,1,68255c2,1622112856,0.2
28,\RIGHT,right,3,27,0.6,6,267992.336315273,267994.6678102,OK,RightArrow,2.17053264396964,0,1,68255c2,1622112856,0.2
28,\RIGHT,right,6,28,0.6,7,267996.448982925,267998.510363339,OK,RightArrow,1.9697216761997,0,1,68255c2,1622112856,0.2
28,\LEFT,left,5,29,0.6,7,268000.061377396,268017.712919943,OK,LeftArrow,17.4850632328889,1,0,68255c2,1622112856,0.2
28,\RIGHT,right,5,30,0.6,11,268019.364034759,268022.165829115,OK,RightArrow,2.64626368012978,0,1,68255c2,1622112856,0.2
28,\LEFT,left,8,31,0.6,11,268025.107766406,268043.990210491,OK,NO RESPONSE,NaN,1,0,68255c2,1622112856,0.2
