participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
18,4,0.6,right,\LEFT,9,64,0.6,2443959.45971024,NaN,NaN
18,4,0.6,right,\LEFT,9,65,0.6,2443959.55472055,NaN,NaN
18,4,0.6,right,\LEFT,9,66,0.6,2443959.64973086,NaN,NaN
18,4,0.6,right,\LEFT,9,67,0.6,2443959.74474117,NaN,NaN
18,4,0.6,right,\LEFT,9,68,0.6,2443959.83975148,NaN,NaN
18,4,0.6,right,\LEFT,9,69,0.6,2443959.93476179,NaN,NaN
18,4,0.6,right,\LEFT,9,70,0.6,2443960.0297721,NaN,NaN
18,4,0.6,right,\LEFT,9,71,0.6,2443960.12478242,NaN,NaN
18,4,0.6,right,\LEFT,9,72,0.6,2443960.21979273,NaN,NaN
18,4,0.6,right,\LEFT,9,73,0.6,2443960.31480304,NaN,NaN
18,4,0.6,right,\LEFT,9,74,0.6,2443960.40981335,NaN,NaN
18,4,0.6,right,\LEFT,9,75,0.6,2443960.50482366,NaN,NaN
18,4,0.6,right,\LEFT,9,76,0.6,2443960.59983397,NaN,NaN
18,4,0.6,right,\LEFT,9,77,0.6,2443960.69484428,NaN,NaN
18,4,0.6,right,\LEFT,9,78,0.6,2443960.78985459,NaN,NaN
18,4,0.6,right,\LEFT,9,79,0.6,2443960.8848649,NaN,NaN
18,4,0.6,right,\LEFT,9,80,0.6,2443960.97987521,NaN,NaN
18,4,0.6,right,\LEFT,9,81,0.6,2443961.07488553,NaN,NaN
18,4,0.6,right,\LEFT,9,82,0.6,2443961.16989584,NaN,NaN
18,4,0.6,right,\LEFT,9,83,0.6,2443961.26490615,NaN,NaN
18,4,0.6,right,\LEFT,9,84,0.6,2443961.35991646,NaN,NaN
18,4,0.6,right,\LEFT,9,85,0.6,2443961.45492677,NaN,NaN
18,4,0.6,right,\LEFT,9,86,0.6,2443961.54993708,NaN,NaN
18,4,0.6,right,\LEFT,9,87,0.6,2443961.64494739,NaN,NaN
18,4,0.6,right,\LEFT,9,88,0.6,2443961.7399577,NaN,NaN
18,4,0.6,right,\LEFT,9,89,0.6,2443961.83496801,NaN,NaN
18,4,0.6,right,\LEFT,9,90,0.6,2443961.92997832,NaN,NaN
18,4,0.6,right,\LEFT,9,91,0.6,2443962.02498864,NaN,NaN
18,4,0.6,right,\LEFT,9,92,0.6,2443962.11999895,NaN,NaN
18,4,0.6,right,\LEFT,9,93,0.6,2443962.21500926,NaN,NaN
18,4,0.6,right,\LEFT,9,94,0.6,2443962.31001957,NaN,NaN
18,4,0.6,right,\LEFT,9,95,0.6,2443962.40502988,NaN,NaN
18,4,0.6,right,\LEFT,9,96,0.6,2443962.50004019,NaN,NaN
18,4,0.6,right,\LEFT,9,97,0.6,2443962.5950505,NaN,NaN
18,4,0.6,right,\LEFT,9,98,0.6,2443962.69006081,NaN,NaN
18,4,0.6,right,\LEFT,9,99,0.6,2443962.78507112,NaN,NaN
18,4,0.6,right,\LEFT,9,100,0.6,2443962.88008144,NaN,NaN
18,4,0.6,right,\LEFT,9,101,0.6,2443962.97509175,NaN,NaN
18,4,0.6,right,\LEFT,9,102,0.6,2443963.07010206,NaN,NaN
18,4,0.6,right,\LEFT,9,103,0.6,2443963.16511237,NaN,NaN
18,4,0.6,right,\LEFT,9,104,0.6,2443963.26012268,NaN,NaN
18,4,0.6,right,\LEFT,9,105,0.6,2443963.35513299,NaN,NaN
18,4,0.6,right,\LEFT,9,106,0.6,2443963.4501433,NaN,NaN
18,4,0.6,right,\LEFT,9,107,0.6,2443963.54515361,NaN,NaN
18,4,0.6,right,\LEFT,9,108,0.6,2443963.64016392,NaN,NaN
18,4,0.6,right,\LEFT,9,109,0.6,2443963.73517423,NaN,NaN
18,4,0.6,right,\LEFT,9,110,0.6,2443963.83018455,NaN,NaN
18,4,0.6,right,\LEFT,9,111,0.6,2443963.92519486,NaN,NaN
18,4,0.6,right,\LEFT,9,112,0.6,2443964.02020517,NaN,NaN
18,4,0.6,right,\LEFT,9,113,0.6,2443964.11521548,NaN,NaN
18,4,0.6,right,\LEFT,9,114,0.6,2443964.21022579,NaN,NaN
18,4,0.6,right,\LEFT,9,115,0.6,2443964.3052361,NaN,NaN
18,4,0.6,right,\LEFT,9,116,0.6,2443964.40024641,NaN,NaN
18,4,0.6,right,\LEFT,9,117,0.6,2443964.49525672,NaN,NaN
18,4,0.6,right,\LEFT,9,118,0.6,2443964.59026703,NaN,NaN
18,4,0.6,right,\LEFT,9,119,0.6,2443964.68527734,NaN,NaN
18,4,0.6,right,\LEFT,9,120,0.6,2443964.78028766,NaN,NaN
18,4,0.6,right,\LEFT,9,121,0.6,2443964.87529797,NaN,NaN
18,4,0.6,right,\LEFT,9,122,0.6,2443964.97030828,NaN,NaN
18,4,0.6,right,\LEFT,9,123,0.6,2443965.06531859,NaN,NaN
18,4,0.6,right,\LEFT,9,124,0.6,2443965.1603289,NaN,NaN
18,4,0.6,right,\LEFT,9,125,0.6,2443965.25533921,NaN,NaN
18,4,0.6,right,\LEFT,9,126,0.6,2443965.35034952,NaN,NaN
18,4,0.6,right,\LEFT,9,127,0.6,2443965.44535983,NaN,NaN
18,4,0.6,right,\LEFT,9,128,0.6,2443965.54037014,NaN,NaN
