participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
25,1,2,10,110,102,1,lazy chair,13,practice,name,Not Studied,go,present,NA,30,2686315.8619232,2686319.01389401,Return,NO RESPONSE,3.04465913819149,,1,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,110,102,1,lazy chair,13,practice,noise,Not Studied,go,present,\ENTER,4,2686408.06971031,2686412.08215968,OK,NO RESPONSE,NaN,,8,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,110,102,1,lazy chair,13,practice,noise,Not Studied,go,present,\ENTER,4,2686415.26419684,2686418.66633192,Return,Return,3.22100406931713,,8,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,110,102,1,lazy chair,13,practice,study,Not Studied,go,present,f,NaN,2685887.03319983,2685905.92504782,OK,NO RESPONSE,NaN,,9,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,110,102,1,lazy chair,13,practice,study,Not Studied,go,present,f,NaN,2686137.00985168,2686139.46138489,OK,j,2.30623383028433,,9,0,2,0,0,68255c2,1621880908,0.2
25,1,2,10,201,203,2,bellow,1,practice,name,CFS,name,present,NA,30,2686319.14398273,2686321.5954921,Return,NO RESPONSE,2.34649143880233,,9,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,201,203,2,bellow,1,practice,name,CFS,name,present,NA,30,2686426.96152963,2686428.77266379,Return,NO RESPONSE,1.60313546378165,,9,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,201,203,2,bellow,1,practice,noise,CFS,name,present,NA,4,2686421.82827242,2686425.80082609,OK,NO RESPONSE,NaN,,10,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,201,203,2,bellow,1,practice,study,CFS,name,present,j,NaN,2685911.90879548,2685919.40348887,OK,f,7.3551547434181,,4,0.6,1,0,0,68255c2,1621880908,0.2
25,1,2,10,201,203,2,bellow,1,practice,study,CFS,name,present,j,NaN,2686142.09300594,2686150.05802944,OK,f,7.80645221658051,,4,0.6,2,0,0,68255c2,1621880908,0.2
25,1,2,10,117,135,3,plane,15,practice,name,Not Studied,go,absent,NA,30,2686321.61855289,2686321.62549054,OK,NO RESPONSE,NaN,,4,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,117,135,3,plane,15,practice,noise,Not Studied,go,absent,\ENTER,4,2686429.82460045,2686429.8333036,OK,NO RESPONSE,NaN,,2,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,117,135,3,plane,15,practice,noise,Not Studied,go,absent,\ENTER,4,2686433.1253784,2686442.52128186,OK,NO RESPONSE,NaN,,2,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,117,135,3,plane,15,practice,study,Not Studied,go,absent,f,NaN,2685923.82626484,2685940.72685522,OK,f,16.7723347754218,,8,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,117,135,3,plane,15,practice,study,Not Studied,go,absent,f,NaN,2686152.79979238,2686156.11178564,OK,f,3.15542140603065,,8,0,2,0,0,68255c2,1621880908,0.2
25,1,2,10,20,71,4,briefcase,11,practice,name,Not Studied,go,present,NA,30,2686321.75563722,2686324.62741662,Return,NO RESPONSE,2.75866745505482,,7,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,20,71,4,briefcase,11,practice,noise,Not Studied,go,present,\ENTER,4,2686445.93341441,2686449.87589388,OK,NO RESPONSE,NaN,,10,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,20,71,4,briefcase,11,practice,noise,Not Studied,go,present,\ENTER,4,2686454.21861103,2686457.53068288,Return,Return,3.18466473417357,,10,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,20,71,4,briefcase,11,practice,study,Not Studied,go,present,f,NaN,2685946.65022085,2685956.42669183,OK,j,9.64355093752965,,2,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,20,71,4,briefcase,11,practice,study,Not Studied,go,present,f,NaN,2686160.5445959,2686167.46896094,OK,j,6.73800634453073,,2,0,2,0,0,68255c2,1621880908,0.2
25,1,2,10,187,2,5,jacket,3,practice,name,CFS,go,present,NA,30,2686324.75749418,2686327.64930806,Return,NO RESPONSE,2.78864204837009,,7,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,187,2,5,jacket,3,practice,noise,CFS,go,present,\ENTER,4,2686460.00224604,2686463.9547103,OK,NO RESPONSE,NaN,,6,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,187,2,5,jacket,3,practice,noise,CFS,go,present,\ENTER,4,2686465.67578425,2686468.88745884,Return,Return,3.10282863629982,,6,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,187,2,5,jacket,3,practice,study,CFS,go,present,j,NaN,2685959.74877563,2685973.69751511,OK,f,13.8080797744915,,5,0.6,1,0,0,68255c2,1621880908,0.2
25,1,2,10,187,2,5,jacket,3,practice,study,CFS,go,present,j,NaN,2686170.99114472,2686176.20440551,OK,j,5.11483911983669,1!,5,0.6,2,0,0,68255c2,1621880908,0.2
25,1,2,10,122,32,6,lure,6,practice,name,CFS,go,absent,NA,30,2686327.67274858,2686327.67933367,OK,NO RESPONSE,NaN,,4,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,122,32,6,lure,6,practice,noise,CFS,go,absent,\ENTER,4,2686471.50102281,2686471.50943799,OK,NO RESPONSE,NaN,,6,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,122,32,6,lure,6,practice,noise,CFS,go,absent,\ENTER,4,2686474.13108814,2686478.39374525,Return,Return,4.14309952547774,,6,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,122,32,6,lure,6,practice,study,CFS,go,absent,j,NaN,2685976.59935363,2685993.69002085,OK,f,16.9164134925231,,8,0.6,1,0,0,68255c2,1621880908,0.2
25,1,2,10,122,32,6,lure,6,practice,study,CFS,go,absent,j,NaN,2686180.64719785,2686186.7109977,OK,f,5.97030038898811,,8,0.6,2,0,0,68255c2,1621880908,0.2
25,1,2,10,112,37,7,rake,7,practice,name,CFS,go,absent,NA,30,2686327.70263775,2686327.70933905,OK,NO RESPONSE,NaN,,3,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,112,37,7,rake,7,practice,noise,CFS,go,absent,\ENTER,4,2686480.23638014,2686480.24490671,OK,NO RESPONSE,NaN,,3,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,112,37,7,rake,7,practice,noise,CFS,go,absent,\ENTER,4,2686482.34622853,2686484.89783875,Return,Return,2.4155998644419,,3,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,112,37,7,rake,7,practice,study,CFS,go,absent,j,NaN,2685996.88204039,2686000.47429699,OK,j,3.44939734786749,0),3,0.6,1,0,0,68255c2,1621880908,0.2
25,1,2,10,112,37,7,rake,7,practice,study,CFS,go,absent,j,NaN,2686189.36264205,2686193.31514374,OK,j,3.83060237439349,1!,3,0.6,2,0,0,68255c2,1621880908,0.2
25,1,2,10,23,53,8,bucket,14,practice,name,Not Studied,nogo,present,NA,30,2686327.83941932,2686331.84193823,Return,NO RESPONSE,3.89840199286118,,2,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,23,53,8,bucket,14,practice,noise,Not Studied,nogo,present,z,4,2686486.76900691,2686490.75150071,OK,NO RESPONSE,NaN,,11,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,23,53,8,bucket,14,practice,noise,Not Studied,nogo,present,z,4,2686493.22303369,2686502.61892899,OK,NO RESPONSE,NaN,,11,0,2,0,0,68255c2,1621880908,0.2
25,1,2,10,23,53,8,bucket,14,practice,study,Not Studied,nogo,present,f,NaN,2686010.08029849,2686024.97963621,OK,f,14.7298462181352,,5,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,23,53,8,bucket,14,practice,study,Not Studied,nogo,present,f,NaN,2686197.59781572,2686203.47149646,OK,f,5.76287821820006,,5,0,2,0,0,68255c2,1621880908,0.2
25,1,2,10,60,191,9,ethernet cable,5,practice,name,CFS,nogo,present,NA,30,2686331.97201669,2686334.03329732,Return,NO RESPONSE,1.95777133200318,,2,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,60,191,9,ethernet cable,5,practice,noise,CFS,nogo,present,z,4,2686504.9804029,2686508.95290224,OK,NO RESPONSE,NaN,,4,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,60,191,9,ethernet cable,5,practice,noise,CFS,nogo,present,z,4,2686510.93414126,2686520.33003022,OK,NO RESPONSE,NaN,,4,0,2,0,0,68255c2,1621880908,0.2
25,1,2,10,60,191,9,ethernet cable,5,practice,study,CFS,nogo,present,j,NaN,2686028.11160423,2686038.26797384,OK,j,10.0018385485746,1!,4,0.6,1,0,0,68255c2,1621880908,0.2
25,1,2,10,60,191,9,ethernet cable,5,practice,study,CFS,nogo,present,j,NaN,2686206.93333019,2686211.38649006,OK,f,4.32288822717965,,4,0.6,2,0,0,68255c2,1621880908,0.2
25,1,2,10,81,96,10,stroller,4,practice,name,CFS,go,present,NA,30,2686334.16339087,2686337.35538928,Return,NO RESPONSE,3.02226874697953,,7,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,81,96,10,stroller,4,practice,noise,CFS,go,present,\ENTER,4,2686522.35129533,2686526.32377475,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1621880908,0.2
25,1,2,10,81,96,10,stroller,4,practice,noise,CFS,go,present,\ENTER,4,2686529.01542467,2686532.70776613,Return,Return,3.51181715074927,,9,1,2,0,0,68255c2,1621880908,0.2
25,1,2,10,81,96,10,stroller,4,practice,study,CFS,go,present,j,NaN,2686048.10415193,2686062.43311935,OK,f,14.2239980874583,,2,0.6,1,0,0,68255c2,1621880908,0.2
25,1,2,10,81,96,10,stroller,4,practice,study,CFS,go,present,j,NaN,2686214.60849838,2686218.01059814,OK,f,3.23944932315499,,2,0.6,2,0,0,68255c2,1621880908,0.2
25,1,2,10,34,4,11,chess board,8,practice,name,CFS,go,absent,NA,30,2686337.37930641,2686337.38538047,OK,NO RESPONSE,NaN,,1,0,1,0,0,68255c2,1621880908,0.2
25,1,2,10,34,4,11,chess board,8,practice,noise,CFS,go,absent,\ENTER,4,2686534.85147749,2686534.85914682,OK,NO RESPONSE,NaN,,3,1,1,0,0,68255c2,1621880908,0.2
