participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
20,1,2,5,146,147,1,hinge,11,practice,name,Not Studied,go,present,NA,30,2445216.95498796,2445220.33709966,Return,NO RESPONSE,3.27444054512307,,8,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,146,147,1,hinge,11,practice,noise,Not Studied,go,present,\ENTER,4,2445287.38851292,2445291.34095603,OK,NO RESPONSE,NaN,,1,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,146,147,1,hinge,11,practice,noise,Not Studied,go,present,\ENTER,4,2445296.17394274,2445298.24521742,Return,Return,1.882810769137,,1,1,2,0,0,68255c2,1597822108,0.2
20,1,2,5,146,147,1,hinge,11,practice,study,Not Studied,go,present,f,NaN,2444953.50215427,2444969.35194862,OK,j,15.7578707607463,,7,0,1,0,0,68255c2,1597822108,0.2
20,1,2,5,146,147,1,hinge,11,practice,study,Not Studied,go,present,f,NaN,2445080.05037221,2445082.41182472,OK,f,2.25902260141447,,7,0,2,0,0,68255c2,1597822108,0.2
20,1,2,5,110,102,2,lazy chair,8,practice,name,CFS,go,absent,NA,30,2445220.39617375,2445220.40710326,OK,NO RESPONSE,NaN,,8,0,1,0,0,68255c2,1597822108,0.2
20,1,2,5,110,102,2,lazy chair,8,practice,noise,CFS,go,absent,\ENTER,4,2445301.32017007,2445301.32713092,OK,NO RESPONSE,NaN,,5,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,110,102,2,lazy chair,8,practice,noise,CFS,go,absent,\ENTER,4,2445303.55852112,2445305.15949614,Return,Return,1.44185256818309,,5,1,2,0,0,68255c2,1597822108,0.2
20,1,2,5,110,102,2,lazy chair,8,practice,study,CFS,go,absent,j,NaN,2444979.44819705,2444982.66017649,OK,f,3.10717521933839,,10,0.6,1,0,0,68255c2,1597822108,0.2
20,1,2,5,110,102,2,lazy chair,8,practice,study,CFS,go,absent,j,NaN,2445086.15414774,2445087.56503916,CAUGHT,j,1.27505087573081,,10,0.6,2,0,0,68255c2,1597822108,0.2
20,1,2,5,26,52,3,camera,12,practice,name,Not Studied,go,present,NA,30,2445220.54720102,2445226.25072096,Return,NO RESPONSE,5.59377661859617,,3,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,26,52,3,camera,12,practice,noise,Not Studied,go,present,\ENTER,4,2445307.87117525,2445311.7936231,OK,NO RESPONSE,NaN,,3,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,26,52,3,camera,12,practice,noise,Not Studied,go,present,\ENTER,4,2445314.64536526,2445316.43648425,Return,Return,1.68243153113872,,3,1,2,0,0,68255c2,1597822108,0.2
20,1,2,5,26,52,3,camera,12,practice,study,Not Studied,go,present,f,NaN,2444988.98407767,2444994.76766925,OK,f,5.60251835361123,,11,0,1,0,0,68255c2,1597822108,0.2
20,1,2,5,26,52,3,camera,12,practice,study,Not Studied,go,present,f,NaN,2445090.18662929,2445090.93709489,OK,f,0.58641944732517,,11,0,2,0,0,68255c2,1597822108,0.2
20,1,2,5,112,37,4,rake,2,practice,name,CFS,go,present,NA,30,2445226.40081945,2445231.74411327,Return,stairs,5.23595711169764,,9,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,112,37,4,rake,2,practice,noise,CFS,go,present,\ENTER,4,2445320.00866959,2445323.99117677,OK,NO RESPONSE,NaN,,6,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,112,37,4,rake,2,practice,noise,CFS,go,present,\ENTER,4,2445326.97297732,2445329.61461087,Return,Return,2.4980654749088,,6,1,2,0,0,68255c2,1597822108,0.2
20,1,2,5,112,37,4,rake,2,practice,study,CFS,go,present,j,NaN,2444998.39993957,2445000.57123966,OK,j,2.04235369106755,2@,3,0.6,1,0,0,68255c2,1597822108,0.2
20,1,2,5,112,37,4,rake,2,practice,study,CFS,go,present,j,NaN,2445093.398619,2445094.04901783,CAUGHT,f,0.470080212224275,,3,0.6,2,0,0,68255c2,1597822108,0.2
20,1,2,5,23,53,5,bucket,9,practice,name,CFS,nogo,absent,NA,30,2445231.78803957,2445231.79414771,OK,NO RESPONSE,NaN,,5,0,1,0,0,68255c2,1597822108,0.2
20,1,2,5,23,53,5,bucket,9,practice,noise,CFS,nogo,absent,z,4,2445334.16936255,2445334.17743781,OK,NO RESPONSE,NaN,,5,0,1,0,0,68255c2,1597822108,0.2
20,1,2,5,23,53,5,bucket,9,practice,noise,CFS,nogo,absent,z,4,2445336.71900549,2445346.11480345,OK,NO RESPONSE,NaN,,5,0,2,0,0,68255c2,1597822108,0.2
20,1,2,5,23,53,5,bucket,9,practice,study,CFS,nogo,absent,j,NaN,2445013.52893517,2445016.65119057,OK,j,2.98443505773321,2@,2,0.6,1,0,0,68255c2,1597822108,0.2
20,1,2,5,23,53,5,bucket,9,practice,study,CFS,nogo,absent,j,NaN,2445096.71066099,2445098.12152795,OK,f,1.25393771985546,,2,0.6,2,0,0,68255c2,1597822108,0.2
20,1,2,5,117,135,6,plane,10,practice,name,Not Studied,name,present,NA,30,2445231.9642537,2445237.26753433,Return,monitor,5.10408372245729,,2,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,117,135,6,plane,10,practice,name,Not Studied,name,present,NA,30,2445353.81957574,2445356.53125183,Return,NO RESPONSE,2.5058026695624,,2,1,2,0,0,68255c2,1597822108,0.2
20,1,2,5,117,135,6,plane,10,practice,noise,Not Studied,name,present,NA,4,2445348.72642484,2445352.65887252,OK,NO RESPONSE,NaN,,1,1,1,0,0,68255c2,1597822108,0.2
20,1,2,5,117,135,6,plane,10,practice,study,Not Studied,name,present,f,NaN,2445021.69430038,2445022.72493645,OK,f,0.890722429845482,,5,0,1,0,0,68255c2,1597822108,0.2
