participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
5,11,0.6,left,\RIGHT,1,1,0,1133841.3458586,1133841.3458586,-0.000423294957727194
5,11,0.6,left,\RIGHT,1,2,0,1133841.44086844,1133841.48592527,0.129587335744873
5,11,0.6,left,\RIGHT,1,3,0,1133841.53587828,1133841.53594763,0.0395430310163647
5,11,0.6,left,\RIGHT,1,4,0,1133841.63088812,1133841.58596517,0.039538201643154
5,11,0.6,left,\RIGHT,1,5,0,1133841.72589796,1133841.63599961,-0.000366174150258303
5,11,0.6,left,\RIGHT,1,6,0,1133841.8209078,1133841.73607,-0.000231822486966848
5,11,0.6,left,\RIGHT,1,7,0,1133841.91591764,1133841.82613453,-0.000257364939898252
5,11,0.6,left,\RIGHT,1,8,0,1133842.01092748,1133841.92619164,0.0097352156881243
5,11,0.6,left,\RIGHT,1,9,0,1133842.10593732,1133842.0162444,-0.000269136857241392
5,11,0.6,left,\RIGHT,1,10,0,1133842.20094716,1133842.11627313,0.00970684248022735
5,11,0.6,left,\RIGHT,1,11,0,1133842.295957,1133842.20632377,-0.000271249795332551
5,11,0.6,left,\RIGHT,1,12,0.015,1133842.39096684,1133842.30642043,0.00977475731633604
5,11,0.6,left,\RIGHT,1,13,0.03,1133842.48597668,1133842.39647137,-0.000270947813987732
5,11,0.6,left,\RIGHT,1,14,0.045,1133842.58098652,1133842.49652063,0.00972736766561866
5,11,0.6,left,\RIGHT,1,15,0.06,1133842.67599636,1133842.58658667,-0.000255855498835444
5,11,0.6,left,\RIGHT,1,16,0.075,1133842.7710062,1133842.68664529,0.00973672489635646
5,11,0.6,left,\RIGHT,1,17,0.09,1133842.86601604,1133842.77668657,-0.000280607026070356
5,11,0.6,left,\RIGHT,1,18,0.105,1133842.96102588,1133842.87672406,0.00971559574827552
5,11,0.6,left,\RIGHT,1,19,0.12,1133843.05603572,1133842.96677591,-0.000270042335614562
5,11,0.6,left,\RIGHT,1,20,0.135,1133843.15104556,1133843.06683514,0.00973732862621546
5,11,0.6,left,\RIGHT,1,21,0.15,1133843.2460554,1133843.15690812,-0.000248913187533617
5,11,0.6,left,\RIGHT,1,22,0.165,1133843.34106524,1133843.256977,0.00974698760546744
5,11,0.6,left,\RIGHT,1,23,0.18,1133843.43607508,1133843.34699927,-0.000299623003229499
5,11,0.6,left,\RIGHT,1,24,0.195,1133843.53108492,1133843.43673207,-0.00058909272775054
5,11,0.6,left,\RIGHT,1,25,0.21,1133843.62609476,1133843.53714354,0.000109262298792601
5,11,0.6,left,\RIGHT,1,26,0.225,1133843.7211046,1133843.62726496,-0.000200474401935935
5,11,0.6,left,\RIGHT,1,27,0.24,1133843.81611444,1133843.7269739,-0.000593274831771851
5,11,0.6,left,\RIGHT,1,28,0.255,1133843.91112428,1133843.82730901,0.0100132152438164
5,11,0.6,left,\RIGHT,1,29,0.27,1133844.00613412,1133843.91737082,-0.000260081607848406
5,11,0.6,left,\RIGHT,1,30,0.285,1133844.10114396,1133844.00739611,-0.000296604819595814
5,11,0.6,left,\RIGHT,1,31,0.3,1133844.1961538,1133844.10748008,-0.000218239612877369
5,11,0.6,left,\RIGHT,1,32,0.315,1133844.29116364,1133844.19751956,-0.000282417982816696
5,11,0.6,left,\RIGHT,1,33,0.33,1133844.38617348,1133844.29757637,-0.000245405593886971
5,11,0.6,left,\RIGHT,1,34,0.345,1133844.48118332,1133844.3876427,-0.000255553750321269
5,11,0.6,left,\RIGHT,1,35,0.36,1133844.57619316,1133844.48770917,-0.000235746614634991
5,11,0.6,left,\RIGHT,1,36,0.375,1133844.671203,1133844.57776072,-0.000270344316959381
5,11,0.6,left,\RIGHT,1,37,0.39,1133844.76621284,1133844.67781662,-0.000246311072260141
5,11,0.6,left,\RIGHT,1,38,0.405,1133844.86122268,1133844.76787662,-0.000261892564594746
5,11,0.6,left,\RIGHT,1,39,0.42,1133844.95623252,1133844.86790053,-0.0002783068921417
5,11,0.6,left,\RIGHT,1,40,0.435,1133845.05124236,1133844.95798377,-0.000238650478422642
5,11,0.6,left,\RIGHT,1,41,0.45,1133845.1462522,1133845.05801643,-0.000269553158432245
5,11,0.6,left,\RIGHT,1,42,0.465,1133845.24126204,1133845.14806436,-0.000273966463282704
5,11,0.6,left,\RIGHT,1,43,0.48,1133845.33627188,1133845.2481266,-0.000239972490817308
5,11,0.6,left,\RIGHT,1,44,0.495,1133845.43128172,1133845.33820079,-0.000247705727815628
5,11,0.6,left,\RIGHT,1,45,0.51,1133845.52629156,1133845.43823586,-0.000267138471826911
