participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
29,\LEFT,left,8,1,0.6,4,2689720.11581439,2689732.30345473,OK,LeftArrow,12.0743445623666,1,0,68255c2,1622268426,0.2
29,\RIGHT,left,4,2,0.6,9,2689735.08520471,2689736.96637034,OK,RightArrow,1.72074432997033,1,0,68255c2,1622268426,0.2
29,\RIGHT,right,8,3,0.6,7,2689739.21779755,2689742.01952375,OK,LeftArrow,2.69990543136373,0,1,68255c2,1622268426,0.2
29,\RIGHT,right,5,4,0.6,3,2689744.81126848,2689746.40228842,OK,RightArrow,1.41804693685845,0,1,68255c2,1622268426,0.2
29,\RIGHT,right,10,5,0.6,6,2689748.35349217,2689750.23470369,OK,RightArrow,1.76371493702754,0,1,68255c2,1622268426,0.2
29,\RIGHT,right,9,6,0.6,6,2689751.99581308,2689752.99643247,CAUGHT,RightArrow,0.857280197087675,0,1,68255c2,1622268426,0.2
29,\RIGHT,left,3,7,0.6,8,2689755.06771269,2689756.54865423,OK,RightArrow,1.36907953955233,1,0,68255c2,1622268426,0.2
29,\LEFT,left,7,8,0.6,1,2689758.19930913,2689762.54241687,OK,RightArrow,4.22126546874642,1,0,68255c2,1622268426,0.2
29,\RIGHT,left,2,9,0.6,7,2689764.51363548,2689766.29476577,OK,RightArrow,1.69069095421582,1,0,68255c2,1622268426,0.2
29,\LEFT,left,10,10,0.6,7,2689767.92578553,2689769.23658027,OK,LeftArrow,1.20636238716543,1,0,68255c2,1622268426,0.2
29,\RIGHT,right,4,11,0.6,6,2689774.09962604,2689775.41046968,OK,RightArrow,1.18425120413303,0,1,68255c2,1622268426,0.2
29,\RIGHT,right,2,12,0.6,11,2689776.961443,2689778.2722818,CAUGHT,RightArrow,1.17831417964771,0,1,68255c2,1622268426,0.2
29,\RIGHT,left,10,13,0.6,9,2689779.86326371,2689780.60370263,CAUGHT,RightArrow,0.580349049530923,1,0,68255c2,1622268426,0.2
29,\RIGHT,right,7,14,0.6,7,2689782.1547004,2689782.70503502,CAUGHT,LeftArrow,0.360782676376402,0,1,68255c2,1622268426,0.2
29,\RIGHT,left,1,15,0.6,2,2689784.69627542,2689785.14650949,CAUGHT,RightArrow,0.355029175058007,1,0,68255c2,1622268426,0.2
29,\LEFT,right,8,16,0.6,4,2689786.66753357,2689787.888269,OK,RightArrow,1.12763893371448,0,1,68255c2,1622268426,0.2
29,\RIGHT,left,6,17,0.6,5,2689789.3488546,2689790.18973576,CAUGHT,RightArrow,0.694220448844135,1,0,68255c2,1622268426,0.2
29,\LEFT,right,4,18,0.6,7,2689791.66063305,2689792.28104653,CAUGHT,LeftArrow,0.478365282062441,0,1,68255c2,1622268426,0.2
29,\LEFT,right,10,19,0.6,5,2689793.7620255,2689795.46305622,OK,RightArrow,1.52073370479047,0,1,68255c2,1622268426,0.2
29,\LEFT,right,9,20,0.6,2,2689796.84391623,2689797.20414532,CAUGHT,LeftArrow,0.23881635023281,0,1,68255c2,1622268426,0.2
29,\RIGHT,left,5,21,0.6,3,2689800.75637221,2689801.30668087,CAUGHT,RightArrow,0.438081715721637,1,0,68255c2,1622268426,0.2
29,\LEFT,left,2,22,0.6,6,2689802.74758636,2689803.29795055,CAUGHT,RightArrow,0.36675411183387,1,0,68255c2,1622268426,0.2
29,\LEFT,right,3,23,0.6,11,2689804.74886951,2689805.38923687,CAUGHT,LeftArrow,0.47734504006803,0,1,68255c2,1622268426,0.2
29,\RIGHT,right,1,24,0.6,9,2689806.84019144,2689807.20037526,CAUGHT,RightArrow,0.241921749897301,0,1,68255c2,1622268426,0.2
29,\LEFT,left,1,25,0.6,9,2689808.7413659,2689809.1916537,CAUGHT,LeftArrow,0.284744452219456,1,0,68255c2,1622268426,0.2
29,\LEFT,left,6,26,0.6,4,2689810.69256512,2689811.06276059,CAUGHT,RightArrow,0.261428598780185,1,0,68255c2,1622268426,0.2
29,\LEFT,right,1,27,0.6,9,2689812.51372754,2689812.87395633,CAUGHT,LeftArrow,0.256101304665208,0,1,68255c2,1622268426,0.2
29,\RIGHT,left,7,28,0.6,9,2689814.29484032,2689814.6550513,CAUGHT,RightArrow,0.234949994832277,1,0,68255c2,1622268426,0.2
29,\LEFT,right,7,29,0.6,6,2689816.07597152,2689816.4361825,CAUGHT,LeftArrow,0.221740575507283,0,1,68255c2,1622268426,0.2
29,\RIGHT,left,9,30,0.6,3,2689817.87710157,2689818.23729323,CAUGHT,RightArrow,0.196463321801275,1,0,68255c2,1622268426,0.2
29,\LEFT,left,4,31,0.6,9,2689821.0587412,2689821.61943942,CAUGHT,LeftArrow,0.382696452084929,1,0,68255c2,1622268426,0.2
