participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
5,1,1,5,34,4,6,chess board,5,practice,study,CFS,nogo,present,j,NaN,1134407.07614434,1134412.47929735,OK,j,5.2851258602459,2@,4,0.6,2,0,0,1466375571,0.2
5,1,1,5,26,52,7,camera,14,practice,name,Not Studied,nogo,present,NA,30,1134577.84521416,1134592.86391708,Return,seatbelt,14.9133822403383,,10,1,1,0,0,1466375571,0.2
5,1,1,5,26,52,7,camera,14,practice,noise,Not Studied,nogo,present,z,4,1134791.98941369,1134796.00174255,OK,NO RESPONSE,NaN,,10,0,1,0,0,1466375571,0.2
5,1,1,5,26,52,7,camera,14,practice,noise,Not Studied,nogo,present,z,4,1134797.80278863,1134807.19821471,OK,NO RESPONSE,NaN,,10,0,2,0,0,1466375571,0.2
5,1,1,5,26,52,7,camera,14,practice,study,Not Studied,nogo,present,f,NaN,1134265.19392519,1134272.68827706,OK,f,7.35955089097843,,8,0,1,0,0,1466375571,0.2
5,1,1,5,26,52,7,camera,14,practice,study,Not Studied,nogo,present,f,NaN,1134418.70291745,1134423.15550967,OK,f,4.32966309878975,,8,0,2,0,0,1466375571,0.2
5,1,1,5,187,2,8,jacket,17,practice,name,Not Studied,go,absent,NA,30,1134592.90167639,1134592.91393492,OK,NO RESPONSE,NaN,,9,0,1,0,0,1466375571,0.2
5,1,1,5,187,2,8,jacket,17,practice,noise,Not Studied,go,absent,\ENTER,4,1134808.98120562,1134808.9893008,OK,NO RESPONSE,NaN,,1,1,1,0,0,1466375571,0.2
5,1,1,5,187,2,8,jacket,17,practice,noise,Not Studied,go,absent,\ENTER,4,1134810.9904454,1134813.63196123,Return,Return,2.50734509760514,,1,1,2,0,0,1466375571,0.2
5,1,1,5,187,2,8,jacket,17,practice,study,Not Studied,go,absent,f,NaN,1134275.7900728,1134282.14374013,OK,j,6.23476754012518,,3,0,1,0,0,1466375571,0.2
5,1,1,5,187,2,8,jacket,17,practice,study,Not Studied,go,absent,f,NaN,1134426.24730317,1134430.7899261,OK,j,4.408927309094,,3,0,2,0,0,1466375571,0.2
5,1,1,5,14,139,9,binoculars,6,practice,name,CFS,go,absent,NA,30,1134592.94461022,1134592.95399308,OK,NO RESPONSE,NaN,,5,0,1,0,0,1466375571,0.2
5,1,1,5,14,139,9,binoculars,6,practice,noise,CFS,go,absent,\ENTER,4,1134818.50635927,1134818.51478256,OK,NO RESPONSE,NaN,,6,1,1,0,0,1466375571,0.2
5,1,1,5,14,139,9,binoculars,6,practice,noise,CFS,go,absent,\ENTER,4,1134820.91619423,1134823.36762072,Return,Return,2.35695562697947,,6,1,2,0,0,1466375571,0.2
5,1,1,5,14,139,9,binoculars,6,practice,study,CFS,go,absent,j,NaN,1134285.51571647,1134290.05802337,OK,j,4.38071596436203,2@,8,0.6,1,0,0,1466375571,0.2
5,1,1,5,14,139,9,binoculars,6,practice,study,CFS,go,absent,j,NaN,1134433.53150991,1134438.0741416,OK,f,4.3642433739733,,8,0.6,2,0,0,1466375571,0.2
5,1,1,5,60,191,10,ethernet cable,2,practice,name,CFS,go,present,NA,30,1134593.09404315,1134597.73675157,Return,wires,4.53635421884246,,11,1,1,0,0,1466375571,0.2
5,1,1,5,60,191,10,ethernet cable,2,practice,noise,CFS,go,present,\ENTER,4,1134827.03974847,1134831.05206556,OK,NO RESPONSE,NaN,,8,1,1,0,0,1466375571,0.2
5,1,1,5,60,191,10,ethernet cable,2,practice,noise,CFS,go,present,\ENTER,4,1134832.93318116,1134835.48462009,Return,Return,2.37123984075151,,8,1,2,0,0,1466375571,0.2
5,1,1,5,60,191,10,ethernet cable,2,practice,study,CFS,go,present,j,NaN,1134296.93231728,1134302.7156852,OK,j,5.62739431043155,1!,5,0.6,1,0,0,1466375571,0.2
5,1,1,5,60,191,10,ethernet cable,2,practice,study,CFS,go,present,j,NaN,1134441.17598472,1134447.61967221,OK,j,6.30323203606531,1!,5,0.6,2,0,0,1466375571,0.2
5,1,1,5,146,147,11,hinge,13,practice,name,Not Studied,go,present,NA,30,1134597.88683346,1134605.23110646,Return,light,7.23912044754252,,6,1,1,0,0,1466375571,0.2
5,1,1,5,146,147,11,hinge,13,practice,noise,Not Studied,go,present,\ENTER,4,1134838.13620305,1134842.14849962,OK,NO RESPONSE,NaN,,1,1,1,0,0,1466375571,0.2
5,1,1,5,146,147,11,hinge,13,practice,noise,Not Studied,go,present,\ENTER,4,1134843.76945074,1134847.08136234,Return,Return,3.19836925179698,,1,1,2,0,0,1466375571,0.2
5,1,1,5,146,147,11,hinge,13,practice,study,Not Studied,go,present,f,NaN,1134311.67087569,1134316.88389288,OK,j,5.04800755088218,,11,0,1,0,0,1466375571,0.2
5,1,1,5,146,147,11,hinge,13,practice,study,Not Studied,go,present,f,NaN,1134452.32240252,1134457.24525424,OK,f,4.75625890819356,,11,0,2,0,0,1466375571,0.2
5,1,1,5,117,135,12,plane,12,practice,name,Not Studied,go,present,NA,30,1134605.37115985,1134608.96325006,Return,plane,3.48256784421392,,2,1,1,0,0,1466375571,0.2
5,1,1,5,117,135,12,plane,12,practice,noise,Not Studied,go,present,\ENTER,4,1134852.65457274,1134856.66690885,OK,NO RESPONSE,NaN,,3,1,1,0,0,1466375571,0.2
5,1,1,5,117,135,12,plane,12,practice,noise,Not Studied,go,present,\ENTER,4,1134858.29786583,1134861.3196183,Return,Return,2.88513407041319,,3,1,2,0,0,1466375571,0.2
5,1,1,5,117,135,12,plane,12,practice,study,Not Studied,go,present,f,NaN,1134319.63549372,1134324.84851936,OK,j,5.04283543583006,,5,0,1,0,0,1466375571,0.2
