participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
5,1,1,1,noise,7,1,Not Studied,40,0.825,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,41,0.85,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,42,0.875,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,43,0.9,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,44,0.925,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,45,0.95,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,46,0.975,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,47,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,48,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,49,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,50,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,51,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,52,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,53,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,54,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,55,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,56,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,57,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,58,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,59,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,60,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,61,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,62,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,63,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,64,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,65,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,66,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,67,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,68,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,69,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,70,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,71,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,72,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,73,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,74,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,75,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,76,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,77,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,78,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,79,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,80,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,81,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,82,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,83,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,84,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,85,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,86,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,87,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,88,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,89,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,90,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,91,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,92,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,93,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,94,1,NaN,NaN,NaN
