participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
27,\RIGHT,right,1,1,0.6,3,2686794.80404551,2686813.64515668,OK,NO RESPONSE,NaN,0,1,68255c2,1622008979,0.2
27,\LEFT,left,5,2,0.6,11,2686814.80588857,2686823.72115433,OK,LeftArrow,8.77389058331028,1,0,68255c2,1622008979,0.2
27,\LEFT,left,7,3,0.6,6,2686827.02312888,2686830.32502042,OK,LeftArrow,3.11621547909454,1,0,68255c2,1622008979,0.2
27,\LEFT,left,4,4,0.6,10,2686833.41685346,2686836.7188259,OK,LeftArrow,3.20206202426925,1,0,68255c2,1622008979,0.2
27,\RIGHT,right,5,5,0.6,7,2686838.5198768,2686845.24383165,OK,RightArrow,6.61858949018642,0,1,68255c2,1622008979,0.2
27,\RIGHT,left,9,6,0.6,4,2686847.17499286,2686849.99665012,OK,RightArrow,2.69122699415311,1,0,68255c2,1622008979,0.2
27,\RIGHT,left,4,7,0.6,5,2686851.64756903,2686855.51990034,OK,RightArrow,3.71434349613264,1,0,68255c2,1622008979,0.2
27,\LEFT,left,9,8,0.6,6,2686857.9013347,2686860.53282565,OK,LeftArrow,2.46026270184666,1,0,68255c2,1622008979,0.2
27,\LEFT,right,9,9,0.6,3,2686862.26386269,2686866.13612578,OK,LeftArrow,3.7293953015469,0,1,68255c2,1622008979,0.2
27,\LEFT,right,10,10,0.6,5,2686867.79710337,2686873.00012677,OK,LeftArrow,5.04380798060447,0,1,68255c2,1622008979,0.2
27,\RIGHT,left,10,11,0.6,8,2686880.9648109,2686884.16664202,OK,RightArrow,3.0513879135251,1,0,68255c2,1622008979,0.2
27,\RIGHT,left,7,12,0.6,8,2686886.11775851,2686888.84935456,OK,RightArrow,2.5941982967779,1,0,68255c2,1622008979,0.2
27,\RIGHT,right,2,13,0.6,1,2686890.41029889,2686909.29121075,OK,NO RESPONSE,NaN,0,1,68255c2,1622008979,0.2
27,\LEFT,right,7,14,0.6,4,2686910.451936,2686917.36592314,OK,LeftArrow,6.80235125217587,0,1,68255c2,1622008979,0.2
