participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
16,1,2,1,23,53,1,bucket,5,practice,name,CFS,nogo,present,NA,30,2444311.64741397,2444336.94329627,Return,desk,25.1865600305609,,7,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,23,53,1,bucket,5,practice,noise,CFS,nogo,present,z,4,2444519.66779437,2444523.68030652,OK,NO RESPONSE,NaN,,8,0,1,0,0,68255c2,1597654984,0.2
16,1,2,1,23,53,1,bucket,5,practice,noise,CFS,nogo,present,z,4,2444532.73598488,2444542.13182313,OK,NO RESPONSE,NaN,,8,0,2,0,0,68255c2,1597654984,0.2
16,1,2,1,23,53,1,bucket,5,practice,study,CFS,nogo,present,j,NaN,2443681.62247569,2443692.70949269,OK,f,10.9415878169239,,5,0.6,1,0,0,68255c2,1597654984,0.2
16,1,2,1,23,53,1,bucket,5,practice,study,CFS,nogo,present,j,NaN,2443990.92640583,2444002.0333583,OK,j,10.9492728360929,1,5,0.6,2,0,0,68255c2,1597654984,0.2
16,1,2,1,20,71,2,briefcase,2,practice,name,CFS,go,present,NA,30,2444337.07335269,2444354.86452724,Return,moon,17.6155836256221,,2,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,20,71,2,briefcase,2,practice,noise,CFS,go,present,\ENTER,4,2444546.54463665,2444550.55715333,OK,NO RESPONSE,NaN,,10,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,20,71,2,briefcase,2,practice,noise,CFS,go,present,\ENTER,4,2444554.11944983,2444556.57095286,Return,Return,2.29494144022465,,10,1,2,0,0,68255c2,1597654984,0.2
16,1,2,1,20,71,2,briefcase,2,practice,study,CFS,go,present,j,NaN,2443699.42368242,2443716.4143152,OK,f,16.8831219044514,,7,0.6,1,0,0,68255c2,1597654984,0.2
16,1,2,1,20,71,2,briefcase,2,practice,study,CFS,go,present,j,NaN,2444006.57621103,2444017.49305224,OK,j,10.7865810389631,1,7,0.6,2,0,0,68255c2,1597654984,0.2
16,1,2,1,146,147,3,hinge,7,practice,name,CFS,go,absent,NA,30,2444354.88951623,2444354.89453654,OK,NO RESPONSE,NaN,,1,0,1,0,0,68255c2,1597654984,0.2
16,1,2,1,146,147,3,hinge,7,practice,noise,CFS,go,absent,\ENTER,4,2444560.38657548,2444560.39331603,OK,NO RESPONSE,NaN,,3,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,146,147,3,hinge,7,practice,noise,CFS,go,absent,\ENTER,4,2444563.28513233,2444565.35640771,Return,Return,1.95279961358756,,3,1,2,0,0,68255c2,1597654984,0.2
16,1,2,1,146,147,3,hinge,7,practice,study,CFS,go,absent,j,NaN,2443722.15792986,2443741.04977484,OK,NO RESPONSE,NaN,,10,0.6,1,0,0,68255c2,1597654984,0.2
16,1,2,1,146,147,3,hinge,7,practice,study,CFS,go,absent,j,NaN,2444021.42551432,2444037.8458067,OK,j,16.2322674822062,2,10,0.6,2,0,0,68255c2,1597654984,0.2
16,1,2,1,110,102,4,lazy chair,4,practice,name,CFS,go,present,NA,30,2444355.02460082,2444373.73634558,Return,bed,18.6073275119998,,1,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,110,102,4,lazy chair,4,practice,noise,CFS,go,present,\ENTER,4,2444568.95868291,2444572.88116926,OK,NO RESPONSE,NaN,,2,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,110,102,4,lazy chair,4,practice,noise,CFS,go,present,\ENTER,4,2444574.7523172,2444575.88305157,Return,Return,0.996988172642887,,2,1,2,0,0,68255c2,1597654984,0.2
16,1,2,1,110,102,4,lazy chair,4,practice,study,CFS,go,present,j,NaN,2443749.06479926,2443760.54165139,OK,j,11.3835597336292,1,8,0.6,1,0,0,68255c2,1597654984,0.2
16,1,2,1,110,102,4,lazy chair,4,practice,study,CFS,go,present,j,NaN,2444044.40995201,2444056.07726976,OK,j,11.5428811092861,2,8,0.6,2,0,0,68255c2,1597654984,0.2
16,1,2,1,26,52,5,camera,8,practice,name,CFS,go,absent,NA,30,2444373.76043809,2444373.76636062,OK,NO RESPONSE,NaN,,7,0,1,0,0,68255c2,1597654984,0.2
16,1,2,1,26,52,5,camera,8,practice,noise,CFS,go,absent,\ENTER,4,2444578.62655817,2444578.63474546,OK,NO RESPONSE,NaN,,2,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,26,52,5,camera,8,practice,noise,CFS,go,absent,\ENTER,4,2444581.7566976,2444583.54778038,Return,Return,1.6081633255817,,2,1,2,0,0,68255c2,1597654984,0.2
16,1,2,1,26,52,5,camera,8,practice,study,CFS,go,absent,j,NaN,2443774.24057974,2443788.66965103,OK,j,14.2543684020638,1,3,0.6,1,0,0,68255c2,1597654984,0.2
16,1,2,1,26,52,5,camera,8,practice,study,CFS,go,absent,j,NaN,2444061.27049276,2444071.51691565,OK,j,10.1375053995289,2,3,0.6,2,0,0,68255c2,1597654984,0.2
16,1,2,1,187,2,6,jacket,11,practice,name,Not Studied,go,present,NA,30,2444373.89643274,2444378.27918051,Return,shirt,4.27930668229237,,6,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,187,2,6,jacket,11,practice,noise,Not Studied,go,present,\ENTER,4,2444586.89958855,2444590.91244662,OK,NO RESPONSE,NaN,,3,1,1,0,0,68255c2,1597654984,0.2
16,1,2,1,187,2,6,jacket,11,practice,noise,Not Studied,go,present,\ENTER,4,2444594.01440202,2444595.99562564,Return,Return,1.8699085614644,,3,1,2,0,0,68255c2,1597654984,0.2
16,1,2,1,187,2,6,jacket,11,practice,study,Not Studied,go,present,f,NaN,2443801.02737237,2443819.89919857,OK,NO RESPONSE,NaN,,1,0,1,0,0,68255c2,1597654984,0.2
16,1,2,1,187,2,6,jacket,11,practice,study,Not Studied,go,present,f,NaN,2444076.44000056,2444087.04664288,OK,f,10.4392048870213,,1,0,2,0,0,68255c2,1597654984,0.2
16,1,2,1,117,135,7,plane,6,practice,name,CFS,go,absent,NA,30,2444378.30287578,2444378.30919797,OK,NO RESPONSE,NaN,,1,0,1,0,0,68255c2,1597654984,0.2
16,1,2,1,117,135,7,plane,6,practice,noise,CFS,go,absent,\ENTER,4,2444598.19880354,2444598.20702343,OK,NO RESPONSE,NaN,,8,1,1,0,0,68255c2,1597654984,0.2
