participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
26,1,2,11,14,139,1,binoculars,10,practice,name,Not Studied,name,present,NA,30,2687057.54156652,2687061.84439644,Return,NO RESPONSE,4.19627615390345,,9,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,14,139,1,binoculars,10,practice,name,Not Studied,name,present,NA,30,2687138.17427984,2687151.2828563,Return,clock,12.9993944917805,,9,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,14,139,1,binoculars,10,practice,noise,Not Studied,name,present,NA,4,2687133.00089015,2687137.0135527,OK,NO RESPONSE,NaN,,3,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,14,139,1,binoculars,10,practice,study,Not Studied,name,present,f,NaN,2686671.83947902,2686685.02809396,OK,f,13.0280513954349,,10,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,14,139,1,binoculars,10,practice,study,Not Studied,name,present,f,NaN,2686897.69707168,2686899.7684631,OK,f,1.88838332612067,,10,0,2,0,0,68255c2,1621988109,0.2
26,1,2,11,110,102,2,lazy chair,14,practice,name,Not Studied,nogo,present,NA,30,2687061.97446663,2687064.64626844,Return,am,2.56325282901526,,7,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,110,102,2,lazy chair,14,practice,noise,Not Studied,nogo,present,z,4,2687152.44359129,2687156.45623754,OK,NO RESPONSE,NaN,,5,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,110,102,2,lazy chair,14,practice,noise,Not Studied,nogo,present,z,4,2687159.77841475,2687169.17455543,OK,NO RESPONSE,NaN,,5,0,2,0,0,68255c2,1621988109,0.2
26,1,2,11,110,102,2,lazy chair,14,practice,study,Not Studied,nogo,present,f,NaN,2686689.56105145,2686700.46816327,OK,f,10.8018152569421,,11,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,110,102,2,lazy chair,14,practice,study,Not Studied,nogo,present,f,NaN,2686902.31011957,2686911.51615026,OK,f,9.03481612447649,,11,0,2,0,0,68255c2,1621988109,0.2
26,1,2,11,60,191,3,ethernet cable,6,practice,name,CFS,go,absent,NA,30,2687064.6692032,2687064.67622873,OK,NO RESPONSE,NaN,,5,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,60,191,3,ethernet cable,6,practice,noise,CFS,go,absent,\ENTER,4,2687171.90736568,2687171.91630764,OK,NO RESPONSE,NaN,,7,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,60,191,3,ethernet cable,6,practice,noise,CFS,go,absent,\ENTER,4,2687175.09839238,2687178.69076183,Return,Return,3.41000851523131,,7,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,60,191,3,ethernet cable,6,practice,study,CFS,go,absent,j,NaN,2686703.08988508,2686713.33661131,OK,f,10.1522660232149,,5,0.6,1,0,0,68255c2,1621988109,0.2
26,1,2,11,60,191,3,ethernet cable,6,practice,study,CFS,go,absent,j,NaN,2686914.21790874,2686927.95691745,OK,f,13.6222044667229,,5,0.6,2,0,0,68255c2,1621988109,0.2
26,1,2,11,125,111,4,cork screw,3,practice,name,CFS,go,present,NA,30,2687064.8063282,2687066.23721769,Return,NO RESPONSE,1.32331095356494,,4,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,125,111,4,cork screw,3,practice,noise,CFS,go,present,\ENTER,4,2687183.30379765,2687187.31640526,OK,NO RESPONSE,NaN,,11,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,125,111,4,cork screw,3,practice,noise,CFS,go,present,\ENTER,4,2687189.49783559,2687193.47043921,Return,Return,3.87384931510314,,11,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,125,111,4,cork screw,3,practice,study,CFS,go,present,j,NaN,2686718.34984194,2686737.22221159,OK,NO RESPONSE,NaN,,7,0.6,1,0,0,68255c2,1621988109,0.2
26,1,2,11,125,111,4,cork screw,3,practice,study,CFS,go,present,j,NaN,2686930.60858898,2686943.7972335,OK,j,13.0867853998207,1!,7,0.6,2,0,0,68255c2,1621988109,0.2
26,1,2,11,81,96,5,stroller,5,practice,name,CFS,nogo,present,NA,30,2687066.36733738,2687071.52075315,Return,stroller,5.04211754072458,,3,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,81,96,5,stroller,5,practice,noise,CFS,nogo,present,z,4,2687198.12345427,2687202.1360975,OK,NO RESPONSE,NaN,,11,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,81,96,5,stroller,5,practice,noise,CFS,nogo,present,z,4,2687203.92726263,2687213.32340543,OK,NO RESPONSE,NaN,,11,0,2,0,0,68255c2,1621988109,0.2
26,1,2,11,81,96,5,stroller,5,practice,study,CFS,nogo,present,j,NaN,2686746.20806938,2686760.61749985,OK,f,14.3038782412186,,3,0.6,1,0,0,68255c2,1621988109,0.2
26,1,2,11,81,96,5,stroller,5,practice,study,CFS,nogo,present,j,NaN,2686948.9006082,2686962.94973889,OK,f,13.8979691322893,,3,0.6,2,0,0,68255c2,1621988109,0.2
26,1,2,11,40,88,6,cookie cutter,13,practice,name,Not Studied,go,present,NA,30,2687071.6508016,2687073.91229517,Return,NO RESPONSE,2.15851821331307,,5,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,40,88,6,cookie cutter,13,practice,noise,Not Studied,go,present,\ENTER,4,2687215.60491428,2687219.61750287,OK,NO RESPONSE,NaN,,1,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,40,88,6,cookie cutter,13,practice,noise,Not Studied,go,present,\ENTER,4,2687221.84896733,2687223.45004662,Return,Return,1.42534997081384,,1,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,40,88,6,cookie cutter,13,practice,study,Not Studied,go,present,f,NaN,2686765.8608982,2686779.5298406,OK,j,13.5061886510812,,1,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,40,88,6,cookie cutter,13,practice,study,Not Studied,go,present,f,NaN,2686965.21123698,2686966.62213776,OK,j,1.30703829461709,,1,0,2,0,0,68255c2,1621988109,0.2
26,1,2,11,201,203,7,bellow,2,practice,name,CFS,go,present,NA,30,2687074.04238347,2687075.54332901,Return,NO RESPONSE,1.39079132303596,,2,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,201,203,7,bellow,2,practice,noise,CFS,go,present,\ENTER,4,2687227.07239205,2687231.08500721,OK,NO RESPONSE,NaN,,2,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,201,203,7,bellow,2,practice,noise,CFS,go,present,\ENTER,4,2687233.26644811,2687237.04892604,Return,Return,3.65524632530287,,2,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,201,203,7,bellow,2,practice,study,CFS,go,present,j,NaN,2686783.33234438,2686796.05066076,OK,j,12.5699867699295,1!,10,0.6,1,0,0,68255c2,1621988109,0.2
26,1,2,11,201,203,7,bellow,2,practice,study,CFS,go,present,j,NaN,2686968.77357581,2686978.83007946,OK,f,9.87219307199121,,10,0.6,2,0,0,68255c2,1621988109,0.2
26,1,2,11,117,135,8,plane,16,practice,name,Not Studied,go,absent,NA,30,2687075.56616446,2687075.57337019,OK,NO RESPONSE,NaN,,7,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,117,135,8,plane,16,practice,noise,Not Studied,go,absent,\ENTER,4,2687239.45155466,2687239.4604773,OK,NO RESPONSE,NaN,,5,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,117,135,8,plane,16,practice,noise,Not Studied,go,absent,\ENTER,4,2687241.71196489,2687245.11419295,Return,Return,3.26537231961265,,5,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,117,135,8,plane,16,practice,study,Not Studied,go,absent,f,NaN,2686805.18660221,2686815.24317347,OK,f,9.88280606921762,,1,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,117,135,8,plane,16,practice,study,Not Studied,go,absent,f,NaN,2686981.28173282,2686985.63455973,OK,j,4.21974910935387,,1,0,2,0,0,68255c2,1621988109,0.2
26,1,2,11,23,53,9,bucket,15,practice,name,Not Studied,go,absent,NA,30,2687075.59638826,2687075.60339386,OK,NO RESPONSE,NaN,,7,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,23,53,9,bucket,15,practice,noise,Not Studied,go,absent,\ENTER,4,2687247.07706587,2687247.08546874,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,23,53,9,bucket,15,practice,noise,Not Studied,go,absent,\ENTER,4,2687249.68718191,2687253.75982329,Return,Return,3.94572671409696,,9,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,23,53,9,bucket,15,practice,study,Not Studied,go,absent,f,NaN,2686818.96564389,2686832.15423166,OK,f,13.055014626123,,2,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,23,53,9,bucket,15,practice,study,Not Studied,go,absent,f,NaN,2686988.23629222,2686988.60650985,OK,j,0.264945807866752,,2,0,2,0,0,68255c2,1621988109,0.2
26,1,2,11,122,32,10,lure,7,practice,name,CFS,go,absent,NA,30,2687075.62590815,2687075.63341633,OK,NO RESPONSE,NaN,,3,0,1,0,0,68255c2,1621988109,0.2
26,1,2,11,122,32,10,lure,7,practice,noise,CFS,go,absent,\ENTER,4,2687255.64182644,2687255.65104821,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1621988109,0.2
26,1,2,11,122,32,10,lure,7,practice,noise,CFS,go,absent,\ENTER,4,2687257.71242249,2687261.87515421,Return,Return,3.98408533353359,,9,1,2,0,0,68255c2,1621988109,0.2
26,1,2,11,122,32,10,lure,7,practice,study,CFS,go,absent,j,NaN,2686834.93608869,2686843.2815339,OK,j,8.17203288106248,1!,4,0.6,1,0,0,68255c2,1621988109,0.2
