participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
27,1,2,12,81,96,1,stroller,6,practice,name,CFS,go,absent,NA,30,2687754.09445094,2687754.10119235,OK,NO RESPONSE,NaN,,8,0,1,0,0,68255c2,1622040047,0.2
27,1,2,12,81,96,1,stroller,6,practice,noise,CFS,go,absent,\ENTER,4,2687864.65802072,2687864.66530967,OK,NO RESPONSE,NaN,,6,1,1,0,0,68255c2,1622040047,0.2
27,1,2,12,81,96,1,stroller,6,practice,noise,CFS,go,absent,\ENTER,4,2687867.27678407,2687869.16793874,Return,Return,1.73774614697322,,6,1,2,0,0,68255c2,1622040047,0.2
27,1,2,12,81,96,1,stroller,6,practice,study,CFS,go,absent,j,NaN,2687172.95406462,2687191.84496815,OK,NO RESPONSE,NaN,,11,0.6,1,0,0,68255c2,1622040047,0.2
27,1,2,12,81,96,1,stroller,6,practice,study,CFS,go,absent,j,NaN,2687466.73442887,2687474.31885916,OK,j,7.47917963331565,0,11,0.6,2,0,0,68255c2,1622040047,0.2
27,1,2,12,201,203,2,bellow,3,practice,name,CFS,go,present,NA,30,2687754.23125467,2687759.44426008,Return,NO RESPONSE,5.10158746317029,,7,1,1,0,0,68255c2,1622040047,0.2
27,1,2,12,201,203,2,bellow,3,practice,noise,CFS,go,present,\ENTER,4,2687871.80944008,2687875.82175989,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1622040047,0.2
27,1,2,12,201,203,2,bellow,3,practice,noise,CFS,go,present,\ENTER,4,2687878.13308922,2687880.96444265,Return,Return,2.72078004013747,,9,1,2,0,0,68255c2,1622040047,0.2
27,1,2,12,201,203,2,bellow,3,practice,study,CFS,go,present,j,NaN,2687197.96854322,2687216.8594709,OK,NO RESPONSE,NaN,,5,0.6,1,0,0,68255c2,1622040047,0.2
27,1,2,12,201,203,2,bellow,3,practice,study,CFS,go,present,j,NaN,2687481.06277381,2687492.06914063,OK,j,10.893832037691,1,5,0.6,2,0,0,68255c2,1622040047,0.2
27,1,2,12,40,88,3,cookie cutter,14,practice,name,Not Studied,nogo,present,NA,30,2687759.57440239,2687766.90858834,Return,NO RESPONSE,7.23013210576028,,3,1,1,0,0,68255c2,1622040047,0.2
27,1,2,12,40,88,3,cookie cutter,14,practice,noise,Not Studied,nogo,present,z,4,2687883.19607342,2687887.20835881,OK,NO RESPONSE,NaN,,10,0,1,0,0,68255c2,1622040047,0.2
