participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
21,10,0.6,left,\LEFT,1,1,0,2680148.20080871,2680148.20080871,0.00952867558225989
21,10,0.6,left,\LEFT,1,2,0,2680148.29581888,2680148.27086735,0.0595800043083727
21,10,0.6,left,\LEFT,1,3,0,2680148.39082906,2680148.32084352,0.0195382288657129
21,10,0.6,left,\LEFT,1,4,0,2680148.48583923,2680148.40093434,-0.000245383009314537
21,10,0.6,left,\LEFT,1,5,0,2680148.5808494,2680148.49098731,-0.000262884423136711
21,10,0.6,left,\LEFT,1,6,0,2680148.67585958,2680148.5910634,-0.000219412613660097
21,10,0.6,left,\LEFT,1,7,0,2680148.77086975,2680148.6811212,-0.000258054584264755
21,10,0.6,left,\LEFT,1,8,0,2680148.86587992,2680148.78115836,0.0097213014960289
21,10,0.6,left,\LEFT,1,9,0,2680148.9608901,2680148.87118749,-0.000286730471998453
21,10,0.6,left,\LEFT,1,10,0,2680149.05590027,2680148.97128199,0.00977865280583501
21,10,0.6,left,\LEFT,1,11,0.015,2680149.15091045,2680149.0613407,-0.000257149338722229
21,10,0.6,left,\LEFT,1,12,0.03,2680149.24592062,2680149.16137876,0.00972220720723271
21,10,0.6,left,\LEFT,1,13,0.045,2680149.34093079,2680149.25142781,-0.000266808550804853
21,10,0.6,left,\LEFT,1,14,0.06,2680149.43594097,2680149.351519,0.0097753326408565
21,10,0.6,left,\LEFT,1,15,0.075,2680149.53095114,2680149.44156442,-0.00027043092995882
21,10,0.6,left,\LEFT,1,16,0.09,2680149.62596131,2680149.54164444,0.00976416422054172
21,10,0.6,left,\LEFT,1,17,0.105,2680149.72097149,2680149.63170345,-0.000256847590208054
21,10,0.6,left,\LEFT,1,18,0.12,2680149.81598166,2680149.73176053,0.0097412234172225
21,10,0.6,left,\LEFT,1,19,0.135,2680149.91099184,2680149.82178634,-0.000290050636976957
21,10,0.6,left,\LEFT,1,20,0.15,2680150.00600201,2680149.92184975,0.00974756246432662
21,10,0.6,left,\LEFT,1,21,0.165,2680150.10101218,2680150.01190755,-0.000258055049926043
21,10,0.6,left,\LEFT,1,22,0.18,2680150.19602236,2680150.10162065,-0.00060276361182332
21,10,0.6,left,\LEFT,1,23,0.195,2680150.29103253,2680150.20206107,0.000144916586577892
21,10,0.6,left,\LEFT,1,24,0.21,2680150.3860427,2680150.29210318,-0.000273750629276037
21,10,0.6,left,\LEFT,1,25,0.225,2680150.48105288,2680150.39216448,-0.000234202947467566
21,10,0.6,left,\LEFT,1,26,0.24,2680150.57606305,2680150.48223435,-0.00024598091840744
21,10,0.6,left,\LEFT,1,27,0.255,2680150.67107323,2680150.58229868,-0.000231184531003237
21,10,0.6,left,\LEFT,1,28,0.27,2680150.7660834,2680150.68234399,0.00972945196554065
