participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
21,\LEFT,left,6,1,0.6,10,2680148.27086735,2680153.62419471,OK,LeftArrow,5.2495310055092,1,0,68255c2,1621310737,0.2
21,\RIGHT,left,1,2,0.6,7,2680160.18832131,2680162.62985977,OK,RightArrow,2.33970048930496,1,0,68255c2,1621310737,0.2
21,\LEFT,right,1,3,0.6,7,2680165.24146838,2680169.49412621,OK,LeftArrow,4.13412592280656,0,1,68255c2,1621310737,0.2
21,\RIGHT,left,2,4,0.6,2,2680172.09577267,2680176.62860681,OK,RightArrow,4.3674885048531,1,0,68255c2,1621310737,0.2
21,\LEFT,right,5,5,0.6,5,2680181.33159983,2680184.25340853,OK,LeftArrow,2.77127559529617,0,1,68255c2,1621310737,0.2
21,\LEFT,right,10,6,0.6,10,2680185.93443676,2680189.7868364,OK,LeftArrow,3.70409838482738,0,1,68255c2,1621310737,0.2
21,\RIGHT,right,4,7,0.6,8,2680191.85816189,2680194.29967651,OK,RightArrow,2.2681842315942,0,1,68255c2,1621310737,0.2
21,\RIGHT,right,8,8,0.6,11,2680196.01077442,2680198.83250793,OK,RightArrow,2.67532453825697,0,1,68255c2,1621310737,0.2
21,\RIGHT,right,3,9,0.6,3,2680200.24343461,2680202.21463661,OK,RightArrow,1.83450736617669,0,1,68255c2,1621310737,0.2
21,\LEFT,left,5,10,0.6,7,2680203.56549487,2680208.17837274,OK,LeftArrow,4.51201848266646,1,0,68255c2,1621310737,0.2
21,\RIGHT,left,5,11,0.6,10,2680214.95262605,2680217.96454357,OK,RightArrow,2.88447327306494,1,0,68255c2,1621310737,0.2
21,\RIGHT,right,1,12,0.6,4,2680219.52549594,2680221.94700234,OK,RightArrow,2.3113093841821,0,1,68255c2,1621310737,0.2
21,\RIGHT,right,9,13,0.6,1,2680223.26786578,2680224.95889481,OK,RightArrow,1.58476869063452,0,1,68255c2,1621310737,0.2
21,\RIGHT,left,9,14,0.6,7,2680228.94106623,2680231.30291835,OK,RightArrow,2.17528786370531,1,0,68255c2,1621310737,0.2
21,\RIGHT,left,8,15,0.6,10,2680232.80377785,2680235.82572513,OK,RightArrow,2.88833691179752,1,0,68255c2,1621310737,0.2
21,\LEFT,left,9,16,0.6,2,2680237.30667634,2680239.7281767,OK,LeftArrow,2.30530625535175,1,0,68255c2,1621310737,0.2
21,\LEFT,left,7,17,0.6,7,2680241.20911674,2680243.56057446,OK,RightArrow,2.20261284615844,1,0,68255c2,1621310737,0.2
21,\RIGHT,right,6,18,0.6,4,2680247.23286242,2680249.11407092,OK,RightArrow,1.70668762689456,0,1,68255c2,1621310737,0.2
21,\LEFT,left,3,19,0.6,9,2680250.39489348,2680253.48682544,OK,LeftArrow,2.97633068403229,1,0,68255c2,1621310737,0.2
21,\RIGHT,left,3,20,0.6,10,2680254.84767966,2680257.7494726,OK,RightArrow,2.76329265348613,1,0,68255c2,1621310737,0.2
21,\LEFT,right,6,21,0.6,11,2680262.34201988,2680265.08405618,OK,LeftArrow,2.5645310706459,0,1,68255c2,1621310737,0.2
21,\LEFT,right,7,22,0.6,9,2680266.37489069,2680269.29673803,OK,LeftArrow,2.76349066477269,0,1,68255c2,1621310737,0.2
21,\LEFT,left,4,23,0.6,7,2680270.6375955,2680273.62939915,OK,LeftArrow,2.88455265853554,1,0,68255c2,1621310737,0.2
21,\LEFT,right,2,24,0.6,6,2680275.07035717,2680277.51184643,OK,LeftArrow,2.30756527651101,0,1,68255c2,1621310737,0.2
21,\RIGHT,left,4,25,0.6,6,2680278.88275214,2680281.42430875,OK,RightArrow,2.41487724334002,1,0,68255c2,1621310737,0.2
21,\RIGHT,left,7,26,0.6,7,2680282.73481703,2680285.9471424,OK,RightArrow,3.04264732915908,1,0,68255c2,1621310737,0.2
21,\LEFT,right,3,27,0.6,7,2680287.16792914,2680290.36991807,OK,LeftArrow,3.05736296391115,0,1,68255c2,1621310737,0.2
21,\LEFT,left,2,28,0.6,2,2680291.77046846,2680293.84209368,OK,LeftArrow,1.97452956438065,1,0,68255c2,1621310737,0.2
21,\RIGHT,right,2,29,0.6,8,2680295.26302144,2680297.99469172,OK,RightArrow,2.57786515261978,0,1,68255c2,1621310737,0.2
21,\LEFT,left,10,30,0.6,8,2680299.405603,2680302.1373252,OK,LeftArrow,2.59494605846703,1,0,68255c2,1621310737,0.2
21,\LEFT,left,8,31,0.6,2,2680306.0998159,2680308.26109144,OK,LeftArrow,2.04446867248043,1,0,68255c2,1621310737,0.2
21,\RIGHT,right,7,32,0.6,7,2680310.37246385,2680312.53381605,OK,RightArrow,2.00360737089068,0,1,68255c2,1621310737,0.2
21,\LEFT,right,8,33,0.6,7,2680313.94470197,2680316.67646612,OK,LeftArrow,2.54308002628386,0,1,68255c2,1621310737,0.2
21,\RIGHT,right,10,34,0.6,1,2680318.42751829,2680320.67892165,OK,RightArrow,2.07610674388707,0,1,68255c2,1621310737,0.2
21,\RIGHT,right,5,35,0.6,6,2680321.96977427,2680324.90162149,OK,RightArrow,2.74962020106614,0,1,68255c2,1621310737,0.2
21,\RIGHT,left,10,36,0.6,3,2680326.30251115,2680328.72397922,OK,RightArrow,2.29667675727978,1,0,68255c2,1621310737,0.2
21,\LEFT,left,1,37,0.6,11,2680330.17491569,2680333.8672502,OK,LeftArrow,3.56003596819937,1,0,68255c2,1621310737,0.2
21,\LEFT,right,4,38,0.6,4,2680335.18804542,2680337.81968186,OK,LeftArrow,2.53864076593891,0,1,68255c2,1621310737,0.2
21,\LEFT,right,9,39,0.6,8,2680339.29059636,2680342.11240503,OK,LeftArrow,2.72387749981135,0,1,68255c2,1621310737,0.2
21,\RIGHT,left,6,40,0.6,1,2680343.59329556,2680346.60521217,OK,RightArrow,2.90095682395622,1,0,68255c2,1621310737,0.2
