participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
15,\RIGHT,left,2,1,0.6,11,2419895.52687719,2419899.89963353,OK,RightArrow,4.27083716308698,1,0,68255c2,1595283237,0.2
15,\LEFT,left,10,2,0.6,6,2419902.32114899,2419906.55380042,OK,LeftArrow,4.10826761368662,1,0,68255c2,1595283237,0.2
15,\LEFT,left,9,3,0.6,8,2419909.28551024,2419912.56756252,OK,LeftArrow,3.18346911901608,1,0,68255c2,1595283237,0.2
15,\LEFT,left,1,4,0.6,5,2419914.40872742,2419917.33055815,OK,LeftArrow,2.78011216036975,1,0,68255c2,1595283237,0.2
15,\RIGHT,left,10,5,0.6,8,2419918.85154692,2419921.27299235,OK,RightArrow,2.32103368034586,1,0,68255c2,1595283237,0.2
15,\RIGHT,left,5,6,0.6,2,2419923.15419602,2419925.88588863,OK,RightArrow,2.61020773416385,1,0,68255c2,1595283237,0.2
15,\LEFT,right,6,7,0.6,5,2419927.58698515,2419930.31867022,OK,LeftArrow,2.57716999901459,0,1,68255c2,1595283237,0.2
15,\RIGHT,left,1,8,0.6,5,2419931.80964425,2419933.69081079,OK,LeftArrow,1.75431090034544,1,0,68255c2,1595283237,0.2
15,\LEFT,left,2,9,0.6,7,2419935.17178976,2419938.26368279,OK,LeftArrow,2.92791113862768,1,0,68255c2,1595283237,0.2
15,\RIGHT,left,8,10,0.6,3,2419939.61454105,2419941.75587386,OK,RightArrow,1.99699873756617,1,0,68255c2,1595283237,0.2
15,\RIGHT,right,1,11,0.6,10,2419948.3800067,2419951.18175252,OK,LeftArrow,2.63901719870046,0,1,68255c2,1595283237,0.2
15,\RIGHT,left,3,12,0.6,6,2419952.92289565,2419955.55449617,OK,RightArrow,2.50385896069929,1,0,68255c2,1595283237,0.2
15,\LEFT,right,5,13,0.6,7,2419957.0955001,2419961.81845697,OK,LeftArrow,4.5629687118344,0,1,68255c2,1595283237,0.2
15,\RIGHT,left,4,14,0.6,2,2419963.60920802,2419966.92166985,OK,RightArrow,3.17699148692191,1,0,68255c2,1595283237,0.2
15,\RIGHT,left,7,15,0.6,7,2419968.34254328,2419971.07426005,OK,RightArrow,2.57138329464942,1,0,68255c2,1595283237,0.2
15,\LEFT,right,1,16,0.6,10,2419972.81532168,2419975.16679571,OK,RightArrow,2.25039911689237,0,1,68255c2,1595283237,0.2
15,\LEFT,right,4,17,0.6,1,2419976.83788352,2419979.08925579,OK,LeftArrow,2.14766435464844,0,1,68255c2,1595283237,0.2
15,\LEFT,left,7,18,0.6,5,2419980.55023048,2419983.67222992,OK,LeftArrow,2.93899948056787,1,0,68255c2,1595283237,0.2
15,\RIGHT,right,5,19,0.6,7,2419984.93294625,2419987.6646446,OK,RightArrow,2.58009972376749,0,1,68255c2,1595283237,0.2
15,\LEFT,left,6,20,0.6,4,2419989.37573073,2419991.63712703,OK,LeftArrow,2.07314985292032,1,0,68255c2,1595283237,0.2
15,\RIGHT,right,9,21,0.6,5,2419995.26941637,2419998.09117494,OK,RightArrow,2.6350901722908,0,1,68255c2,1595283237,0.2
15,\LEFT,right,2,22,0.6,9,2419999.42205033,2420001.77350443,OK,LeftArrow,2.24225861113518,0,1,68255c2,1595283237,0.2
15,\LEFT,right,8,23,0.6,9,2420003.13437706,2420005.67595238,OK,LeftArrow,2.41771218879148,0,1,68255c2,1595283237,0.2
15,\RIGHT,right,3,24,0.6,2,2420007.15690207,2420010.07873311,OK,RightArrow,2.78701418917626,0,1,68255c2,1595283237,0.2
