participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
21,1,2,6,34,4,1,chess board,4,practice,name,CFS,go,present,NA,30,2680883.06150551,2680895.56932953,Return,countertop,12.3957283850759,,4,1,1,0,0,68255c2,1621333797,0.2
21,1,2,6,34,4,1,chess board,4,practice,noise,CFS,go,present,\ENTER,4,2681050.42642711,2681054.43891059,OK,NO RESPONSE,NaN,,4,1,1,0,0,68255c2,1621333797,0.2
21,1,2,6,34,4,1,chess board,4,practice,noise,CFS,go,present,\ENTER,4,2681059.50209135,2681062.3338347,Return,Return,2.73825989570469,,4,1,2,0,0,68255c2,1621333797,0.2
21,1,2,6,34,4,1,chess board,4,practice,study,CFS,go,present,j,NaN,2680424.60412462,2680433.30954871,OK,f,8.53356521204114,,8,0.6,1,0,0,68255c2,1621333797,0.2
21,1,2,6,34,4,1,chess board,4,practice,study,CFS,go,present,j,NaN,2680629.67268036,2680638.58826347,OK,f,8.7581337899901,,8,0.6,2,0,0,68255c2,1621333797,0.2
21,1,2,6,23,53,2,bucket,10,practice,name,Not Studied,name,present,NA,30,2680895.69940044,2680910.21853406,Return,shed,14.4129849658348,,5,1,1,0,0,68255c2,1621333797,0.2
21,1,2,6,23,53,2,bucket,10,practice,name,Not Studied,name,present,NA,30,2681070.63906429,2681075.5821381,Return,NO RESPONSE,4.83268662681803,,5,1,2,0,0,68255c2,1621333797,0.2
21,1,2,6,23,53,2,bucket,10,practice,noise,Not Studied,name,present,NA,4,2681065.46580423,2681069.4783191,OK,NO RESPONSE,NaN,,3,1,1,0,0,68255c2,1621333797,0.2
21,1,2,6,23,53,2,bucket,10,practice,study,Not Studied,name,present,f,NaN,2680438.24266127,2680447.15823111,OK,j,8.79832529369742,,3,0,1,0,0,68255c2,1621333797,0.2
21,1,2,6,23,53,2,bucket,10,practice,study,Not Studied,name,present,f,NaN,2680641.17990159,2680648.9547755,OK,f,7.65038112690672,,3,0,2,0,0,68255c2,1621333797,0.2
21,1,2,6,201,203,3,bellow,14,practice,name,Not Studied,nogo,present,NA,30,2680910.34858294,2680928.26981843,Return,stick,17.8108794032596,,8,1,1,0,0,68255c2,1621333797,0.2
21,1,2,6,201,203,3,bellow,14,practice,noise,Not Studied,nogo,present,z,4,2681076.74287211,2681080.75538366,OK,NO RESPONSE,NaN,,7,0,1,0,0,68255c2,1621333797,0.2
21,1,2,6,201,203,3,bellow,14,practice,noise,Not Studied,nogo,present,z,4,2681083.52714735,2681092.92301066,OK,NO RESPONSE,NaN,,7,0,2,0,0,68255c2,1621333797,0.2
21,1,2,6,201,203,3,bellow,14,practice,study,Not Studied,nogo,present,f,NaN,2680450.5704035,2680457.01444065,OK,f,6.28601432172582,,1,0,1,0,0,68255c2,1621333797,0.2
21,1,2,6,201,203,3,bellow,14,practice,study,Not Studied,nogo,present,f,NaN,2680651.9966824,2680660.06172525,OK,f,7.9290451775305,,1,0,2,0,0,68255c2,1621333797,0.2
21,1,2,6,117,135,4,plane,11,practice,name,Not Studied,go,present,NA,30,2680928.39993221,2680935.45431775,Return,airplane,6.94325823709369,,1,1,1,0,0,68255c2,1621333797,0.2
21,1,2,6,117,135,4,plane,11,practice,noise,Not Studied,go,present,\ENTER,4,2681095.86454867,2681099.87740462,OK,NO RESPONSE,NaN,,5,1,1,0,0,68255c2,1621333797,0.2
21,1,2,6,117,135,4,plane,11,practice,noise,Not Studied,go,present,\ENTER,4,2681103.7498318,2681107.06189942,Return,Return,3.16822827141732,,5,1,2,0,0,68255c2,1621333797,0.2
21,1,2,6,117,135,4,plane,11,practice,study,Not Studied,go,present,f,NaN,2680460.07636875,2680467.57102319,OK,f,7.35553174978122,,4,0,1,0,0,68255c2,1621333797,0.2
21,1,2,6,117,135,4,plane,11,practice,study,Not Studied,go,present,f,NaN,2680662.63333131,2680672.78968161,OK,f,9.99570954963565,,4,0,2,0,0,68255c2,1621333797,0.2
