participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
11,\LEFT,right,2,1,0.6,3,1480518.56214957,1480523.83555529,OK,LeftArrow,5.09415986319073,0,1,68255c2,1501017308,0.2
11,\LEFT,left,7,2,0.6,6,1480527.21772008,1480533.57187151,OK,LeftArrow,6.1901600973215,1,0,68255c2,1501017308,0.2
11,\LEFT,right,6,3,0.6,3,1480538.44508212,1480541.93732325,OK,LeftArrow,3.36239853734151,0,1,68255c2,1501017308,0.2
11,\LEFT,left,10,4,0.6,5,1480543.64848914,1480547.24076894,OK,LeftArrow,3.41474240692332,1,0,68255c2,1501017308,0.2
11,\LEFT,left,9,5,0.6,5,1480549.05203266,1480551.98388943,OK,LeftArrow,2.762998129474,1,0,68255c2,1501017308,0.2
11,\RIGHT,right,10,6,0.6,6,1480553.75506555,1480556.84704093,OK,RightArrow,2.91573956375942,0,1,68255c2,1501017308,0.2
11,\RIGHT,left,5,7,0.6,10,1480558.72828735,1480561.82025821,OK,LeftArrow,2.98227605340071,1,0,68255c2,1501017308,0.2
11,\RIGHT,right,1,8,0.6,9,1480565.60279771,1480568.88489939,OK,RightArrow,3.14743493567221,0,1,68255c2,1501017308,0.2
11,\RIGHT,left,6,9,0.6,4,1480570.74611483,1480574.51856776,OK,RightArrow,3.58784503955394,1,0,68255c2,1501017308,0.2
11,\LEFT,right,10,10,0.6,5,1480576.41980924,1480578.78134358,OK,LeftArrow,2.21795250638388,0,1,68255c2,1501017308,0.2
11,\LEFT,left,3,11,0.6,8,1480585.83592717,1480589.89857977,OK,LeftArrow,3.87333738012239,1,0,68255c2,1501017308,0.2
11,\LEFT,right,1,12,0.6,5,1480591.77982287,1480595.06191519,OK,LeftArrow,3.09714273130521,0,1,68255c2,1501017308,0.2
11,\LEFT,left,1,13,0.6,6,1480596.87313786,1480600.17525361,OK,LeftArrow,3.16361251217313,1,0,68255c2,1501017308,0.2
11,\RIGHT,left,7,14,0.6,2,1480601.84633461,1480604.7782765,OK,RightArrow,2.78221018984914,1,0,68255c2,1501017308,0.2
11,\RIGHT,right,9,15,0.6,5,1480606.52940473,1480611.90292005,OK,LeftArrow,5.21882001962513,0,1,68255c2,1501017308,0.2
11,\LEFT,left,8,16,0.6,1,1480614.91486632,1480621.53918584,OK,LeftArrow,6.49694121722132,1,0,68255c2,1501017308,0.2
11,\LEFT,left,2,17,0.6,4,1480623.48012916,1480626.50245448,OK,LeftArrow,2.90741156041622,1,0,68255c2,1501017308,0.2
11,\RIGHT,left,2,18,0.6,3,1480628.08348921,1480630.50502865,OK,RightArrow,2.24785332824104,1,0,68255c2,1501017308,0.2
11,\RIGHT,right,4,19,0.6,7,1480632.0260607,1480637.89985116,OK,RightArrow,5.69694852177054,0,1,68255c2,1501017308,0.2
11,\RIGHT,right,7,20,0.6,11,1480639.46092072,1480643.23333381,OK,RightArrow,3.64581174496561,0,1,68255c2,1501017308,0.2
11,\LEFT,left,4,21,0.6,1,1480648.27664667,1480652.33928871,OK,RightArrow,3.89367412845604,1,0,68255c2,1501017308,0.2
11,\LEFT,right,8,22,0.6,9,1480655.57142327,1480659.32383134,OK,LeftArrow,3.62256789254025,0,1,68255c2,1501017308,0.2
11,\RIGHT,left,3,23,0.6,11,1480661.04467239,1480664.16700831,OK,RightArrow,2.97309110173956,1,0,68255c2,1501017308,0.2
11,\RIGHT,left,9,24,0.6,2,1480665.78805277,1480667.84942614,OK,RightArrow,1.94156724028289,1,0,68255c2,1501017308,0.2
11,\LEFT,right,9,25,0.6,1,1480669.3804183,1480674.01341657,OK,LeftArrow,4.50887148175389,0,1,68255c2,1501017308,0.2
11,\LEFT,right,7,26,0.6,8,1480675.7245719,1480679.78718798,OK,LeftArrow,3.92450192733668,0,1,68255c2,1501017308,0.2
11,\RIGHT,right,6,27,0.6,9,1480681.68843217,1480686.11131633,OK,RightArrow,4.30429418873973,0,1,68255c2,1501017308,0.2
11,\LEFT,left,5,28,0.6,1,1480687.89249632,1480690.71439235,OK,LeftArrow,2.70802153623663,1,0,68255c2,1501017308,0.2
11,\RIGHT,right,8,29,0.6,3,1480692.7156402,1480699.06972793,OK,RightArrow,6.2125276834704,0,1,68255c2,1501017308,0.2
11,\RIGHT,left,10,30,0.6,2,1480700.81090875,1480704.58336621,OK,RightArrow,3.59695301926695,1,0,68255c2,1501017308,0.2
11,\LEFT,left,6,31,0.6,5,1480715.7407383,1480718.95276069,OK,RightArrow,3.06647159182467,1,0,68255c2,1501017308,0.2
11,\RIGHT,left,8,32,0.6,10,1480721.28395744,1480726.77791337,OK,RightArrow,5.36288390983827,1,0,68255c2,1501017308,0.2
11,\RIGHT,right,3,33,0.6,1,1480728.53906691,1480736.8744669,OK,LeftArrow,8.2193132401444,0,1,68255c2,1501017308,0.2
11,\RIGHT,left,1,34,0.6,11,1480739.576229,1480742.88841472,OK,RightArrow,3.13382609118707,1,0,68255c2,1501017308,0.2
11,\LEFT,right,4,35,0.6,11,1480744.81968409,1480751.45402016,OK,RightArrow,6.48200423852541,0,1,68255c2,1501017308,0.2
11,\RIGHT,left,4,36,0.6,6,1480754.64607284,1480758.41853061,OK,RightArrow,3.64730227342807,1,0,68255c2,1501017308,0.2
11,\LEFT,right,5,37,0.6,3,1480760.10965828,1480765.12294113,OK,LeftArrow,4.82336181472056,0,1,68255c2,1501017308,0.2
11,\LEFT,right,3,38,0.6,10,1480766.77403794,1480771.09683605,OK,LeftArrow,4.15872920514084,0,1,68255c2,1501017308,0.2
11,\RIGHT,right,2,39,0.6,11,1480772.85799532,1480777.96130965,OK,RightArrow,4.97043000441045,0,1,68255c2,1501017308,0.2
11,\RIGHT,right,5,40,0.6,2,1480779.71245962,1480784.79578794,OK,RightArrow,4.97965238522738,0,1,68255c2,1501017308,0.2
