participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
14,9,0.6,right,\RIGHT,1,1,0,1482648.00431669,1482648.00431669,0.00953228259459138
14,9,0.6,right,\RIGHT,1,2,0,1482648.09932662,1482648.19444979,0.179653968429193
14,9,0.6,right,\RIGHT,1,3,0,1482648.19433655,1482648.24444499,0.0395160615444183
14,9,0.6,right,\RIGHT,1,4,0,1482648.28934649,1482648.29445076,0.0395266260020435
14,9,0.6,right,\RIGHT,1,5,0,1482648.38435642,1482648.34453621,0.0396063132211566
14,9,0.6,right,\RIGHT,1,6,0,1482648.47936635,1482648.39455918,0.00960343354381621
14,9,0.6,right,\RIGHT,1,7,0,1482648.57437629,1482648.48462522,-0.00025416212156415
14,9,0.6,right,\RIGHT,1,8,0,1482648.66938622,1482648.58465788,0.00971245998516679
14,9,0.6,right,\RIGHT,1,9,0,1482648.76439616,1482648.67472211,-0.00025597307831049
14,9,0.6,right,\RIGHT,1,10,0.015,1482648.85940609,1482648.77479914,0.00975683098658919
14,9,0.6,right,\RIGHT,1,11,0.03,1482648.95441602,1482648.8648688,-0.000250539975240827
14,9,0.6,right,\RIGHT,1,12,0.045,1482649.04942596,1482648.96492983,0.00974083342589438
14,9,0.6,right,\RIGHT,1,13,0.06,1482649.14443589,1482649.05497232,-0.000277705956250429
14,9,0.6,right,\RIGHT,1,14,0.075,1482649.23944582,1482649.1550412,0.00974868121556938
14,9,0.6,right,\RIGHT,1,15,0.09,1482649.33445576,1482649.24501307,-0.000348337693139911
14,9,0.6,right,\RIGHT,1,16,0.105,1482649.42946569,1482649.34517733,0.00984406447969377
14,9,0.6,right,\RIGHT,1,17,0.12,1482649.52447563,1482649.43524699,-0.000250539975240827
14,9,0.6,right,\RIGHT,1,18,0.135,1482649.61948556,1482649.53526486,0.00969766941852868
14,9,0.6,right,\RIGHT,1,19,0.15,1482649.71449549,1482649.62533905,-0.00024601211771369
14,9,0.6,right,\RIGHT,1,20,0.165,1482649.80950543,1482649.72539103,0.00973177794367075
14,9,0.6,right,\RIGHT,1,21,0.18,1482649.90451536,1482649.81542145,-0.000289779854938388
14,9,0.6,right,\RIGHT,1,22,0.195,1482649.99952529,1482649.90553155,-0.000210092635825276
14,9,0.6,right,\RIGHT,1,23,0.21,1482650.09453523,1482650.00558081,-0.000251070829108357
14,9,0.6,right,\RIGHT,1,24,0.225,1482650.18954516,1482650.09562421,-0.000276800477877259
14,9,0.6,right,\RIGHT,1,25,0.24,1482650.2845551,1482650.19565838,-0.000266163377091289
14,9,0.6,right,\RIGHT,1,26,0.255,1482650.37956503,1482650.28577634,-0.000202244613319635
14,9,0.6,right,\RIGHT,1,27,0.27,1482650.47457496,1482650.38580507,-0.000271596480160952
14,9,0.6,right,\RIGHT,1,28,0.285,1482650.5695849,1482650.48583502,0.00970974331721663
14,9,0.6,right,\RIGHT,1,29,0.3,1482650.66459483,1482650.57591041,-0.000244804890826344
14,9,0.6,right,\RIGHT,1,30,0.315,1482650.75960476,1482650.66596618,-0.000264424830675125
14,9,0.6,right,\RIGHT,1,31,0.33,1482650.8546147,1482650.76594723,-0.000319287879392505
14,9,0.6,right,\RIGHT,1,32,0.345,1482650.94962463,1482650.85606518,-0.000202244613319635
14,9,0.6,right,\RIGHT,1,33,0.36,1482651.04463457,1482650.9561733,-0.000192211242392659
14,9,0.6,right,\RIGHT,1,34,0.375,1482651.1396445,1482651.04619044,-0.000303060980513692
14,9,0.6,right,\RIGHT,1,35,0.39,1482651.23465443,1482651.1462385,-0.000252278288826346
14,9,0.6,right,\RIGHT,1,36,0.405,1482651.32966437,1482651.23629216,-0.000266537768766284
14,9,0.6,right,\RIGHT,1,37,0.42,1482651.4246743,1482651.3364039,-0.000188589096069336
14,9,0.6,right,\RIGHT,1,38,0.435,1482651.51968423,1482651.42644157,-0.000282535329461098
14,9,0.6,right,\RIGHT,1,39,0.45,1482651.61469417,1482651.52652011,-0.00022179214283824
14,9,0.6,right,\RIGHT,1,40,0.465,1482651.7097041,1482651.61656924,-0.000271065393462777
14,9,0.6,right,\RIGHT,1,41,0.48,1482651.80471404,1482651.71659979,-0.000269785290583968
14,9,0.6,right,\RIGHT,1,42,0.495,1482651.89972397,1482651.80664409,-0.000275894766673446
14,9,0.6,right,\RIGHT,1,43,0.51,1482651.9947339,1482651.9067335,-0.00021092570386827
14,9,0.6,right,\RIGHT,1,44,0.525,1482652.08974384,1482651.99677811,-0.00027559301815927
14,9,0.6,right,\RIGHT,1,45,0.54,1482652.18475377,1482652.09682012,-0.000258315121755004
14,9,0.6,right,\RIGHT,1,46,0.555,1482652.2797637,1482652.18687348,-0.000266839750111103
14,9,0.6,right,\RIGHT,1,47,0.57,1482652.37477364,1482652.28695655,-0.000217264285311103
14,9,0.6,right,\RIGHT,1,48,0.585,1482652.46978357,1482652.37701595,-0.000260802684351802
14,9,0.6,right,\RIGHT,1,49,0.6,1482652.5647935,1482652.47708996,-0.000226319534704089
14,9,0.6,right,\RIGHT,1,50,0.6,1482652.65980344,1482652.577135,0.00972483563236892
14,9,0.6,right,\RIGHT,1,51,0.6,1482652.75481337,1482652.66720496,-0.000250238226726651
14,9,0.6,right,\RIGHT,1,52,0.6,1482652.84982331,1482652.75724564,-0.000279516912996769
14,9,0.6,right,\RIGHT,1,53,0.6,1482652.94483324,1482652.85728766,-0.000258315354585648
14,9,0.6,right,\RIGHT,1,54,0.6,1482653.03984317,1482652.94734071,-0.000267141498625278
14,9,0.6,right,\RIGHT,1,55,0.6,1482653.13485311,1482653.04743525,-0.000205794116482139
14,9,0.6,right,\RIGHT,1,56,0.6,1482653.22986304,1482653.13747684,-0.000278611434623599
14,9,0.6,right,\RIGHT,1,57,0.6,1482653.32487297,1482653.23756564,-0.000211529200896621
14,9,0.6,right,\RIGHT,1,58,0.6,1482653.41988291,1482653.32762987,-0.000255973311141133
14,9,0.6,right,\RIGHT,1,59,0.6,1482653.51489284,1482653.42766706,-0.000263144727796316
14,9,0.6,right,\RIGHT,1,60,0.6,1482653.60990278,1482653.51772253,-0.000264726579189301
14,9,0.6,right,\RIGHT,1,61,0.6,1482653.70491271,1482653.61776062,-0.000262239249423146
14,9,0.6,right,\RIGHT,1,62,0.6,1482653.79992264,1482653.70783994,-0.000240880763158202
14,9,0.6,right,\RIGHT,1,63,0.6,1482653.89493258,1482653.8079043,-0.000235978746786714
14,9,0.6,right,\RIGHT,1,64,0.6,1482653.98994251,1482653.89790996,-0.000314531149342656
14,9,0.6,right,\RIGHT,1,65,0.6,1482654.08495244,1482653.99798579,-0.000224508577957749
14,9,0.6,right,\RIGHT,1,66,0.6,1482654.17996238,1482654.08803945,-0.000266537768766284
14,9,0.6,right,\RIGHT,1,67,0.6,1482654.27497231,1482654.18813187,-0.000207907054573298
14,9,0.6,right,\RIGHT,1,68,0.6,1482654.36998225,1482654.27820153,-0.000250539975240827
14,9,0.6,right,\RIGHT,1,69,0.6,1482654.46499218,1482654.37822846,-0.000273407436907291
14,9,0.6,right,\RIGHT,1,70,0.6,1482654.56000211,1482654.46828122,-0.000267443247139454
14,9,0.6,right,\RIGHT,1,71,0.6,1482654.65501205,1482654.56832897,-0.000252580270171165
14,9,0.6,right,\RIGHT,1,72,0.6,1482654.75002198,1482654.66841928,0.00977011234499514
14,9,0.6,right,\RIGHT,1,73,0.6,1482654.84503191,1482654.75847777,-0.000261708162724972
14,9,0.6,right,\RIGHT,1,74,0.6,1482654.94004185,1482654.8485586,-0.000239371554926038
14,9,0.6,right,\RIGHT,1,75,0.6,1482655.03505178,1482654.94858371,-0.000275218626484275
14,9,0.6,right,\RIGHT,1,76,0.6,1482655.13006172,1482655.03862772,-0.000276196748018265
14,9,0.6,right,\RIGHT,1,77,0.6,1482655.22507165,1482655.13871591,-0.000212132930755615
14,9,0.6,right,\RIGHT,1,78,0.6,1482655.32008158,1482655.22877169,-0.000264424830675125
14,9,0.6,right,\RIGHT,1,79,0.6,1482655.41509152,1482655.32880043,-0.000271596480160952
14,9,0.6,right,\RIGHT,1,80,0.6,1482655.51010145,1482655.41885862,-0.000262009911239147
14,9,0.6,right,\RIGHT,1,81,0.6,1482655.60511138,1482655.518961,-0.000197946326807141
14,9,0.6,right,\RIGHT,1,82,0.6,1482655.70012132,1482655.60900048,-0.000280724372714758
14,9,0.6,right,\RIGHT,1,83,0.6,1482655.79513125,1482655.7090434,-0.000257409643381834
14,9,0.6,right,\RIGHT,1,84,0.6,1482655.89014119,1482655.79912211,-0.00024148472584784
14,9,0.6,right,\RIGHT,1,85,0.6,1482655.98515112,1482655.89917077,-0.000251674558967352
14,9,0.6,right,\RIGHT,1,86,0.6,1482656.08016105,1482655.98921568,-0.000275291269645095
14,9,0.6,right,\RIGHT,1,87,0.6,1482656.17517099,1482656.08929543,-0.000220584450289607
14,9,0.6,right,\RIGHT,1,88,0.6,1482656.27018092,1482656.17935211,-0.000263519352301955
14,9,0.6,right,\RIGHT,1,89,0.6,1482656.36519085,1482656.27938477,-0.000267672352492809
14,9,0.6,right,\RIGHT,1,90,0.6,1482656.46020079,1482656.36946831,-0.000236655119806528
14,9,0.6,right,\RIGHT,1,91,0.6,1482656.55521072,1482656.46953961,-0.000229036202654243
14,9,0.6,right,\RIGHT,1,92,0.6,1482656.65022065,1482656.55961259,-0.000247219810262322
14,9,0.6,right,\RIGHT,1,93,0.6,1482656.74523059,1482656.65966758,-0.000245335744693875
14,9,0.6,right,\RIGHT,1,94,0.6,1482656.84024052,1482656.74966118,-0.000326604815199971
14,9,0.6,right,\RIGHT,1,95,0.6,1482656.93525046,1482656.84973066,-0.000230847392231226
14,9,0.6,right,\RIGHT,1,96,0.6,1482657.03026039,1482656.93978916,-0.000261708162724972
14,9,0.6,right,\RIGHT,1,97,0.6,1482657.12527032,1482657.03987313,-0.000216358806937933
14,9,0.6,right,\RIGHT,1,98,0.6,1482657.22028026,1482657.1299283,-0.00026502856053412
14,9,0.6,right,\RIGHT,1,99,0.6,1482657.31529019,1482657.22997213,-0.000256504165008664
14,9,0.6,right,\RIGHT,1,100,0.6,1482657.41030012,1482657.32005265,-0.000239673536270857
14,9,0.6,right,\RIGHT,1,101,0.6,1482657.50531006,1482657.42010856,-0.000244430266320705
