participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
14,\RIGHT,right,10,1,0.6,9,1482648.19444979,1482661.97290005,OK,RightArrow,13.6372549848165,0,1,68255c2,1501232505,0.2
14,\LEFT,left,3,2,0.6,1,1482665.06476629,1482670.14791464,OK,LeftArrow,4.89444538694806,1,0,68255c2,1501232505,0.2
14,\LEFT,right,10,3,0.6,1,1482672.33929045,1482675.26103651,OK,RightArrow,2.75567634729669,0,1,68255c2,1501232505,0.2
14,\LEFT,right,4,4,0.6,11,1482678.42296039,1482690.54042007,OK,RightArrow,11.9831331998575,0,1,68255c2,1501232505,0.2
14,\LEFT,right,2,5,0.6,4,1482692.73177626,1482693.75240254,OK,LeftArrow,0.866071951342747,0,1,68255c2,1501232505,0.2
14,\RIGHT,left,7,6,0.6,2,1482696.11387467,1482697.13449069,OK,LeftArrow,0.883774258429185,1,0,68255c2,1501232505,0.2
14,\RIGHT,left,4,7,0.6,8,1482699.35584212,1482700.28646485,CAUGHT,RightArrow,0.817675926024094,1,0,68255c2,1501232505,0.2
14,\RIGHT,right,4,8,0.6,5,1482702.41773937,1482703.70851155,OK,RightArrow,1.15552898659371,0,1,68255c2,1501232505,0.2
14,\RIGHT,left,9,9,0.6,6,1482705.59969007,1482706.04996622,CAUGHT,RightArrow,0.349388371454552,1,0,68255c2,1501232505,0.2
14,\RIGHT,left,8,10,0.6,10,1482708.09122271,1482708.64153907,CAUGHT,LeftArrow,0.369792795507237,1,0,68255c2,1501232505,0.2
14,\RIGHT,right,5,11,0.6,4,1482715.03555886,1482721.37940505,OK,RightArrow,6.16861155512743,0,1,68255c2,1501232505,0.2
14,\LEFT,right,7,12,0.6,8,1482723.97101201,1482726.1322999,OK,LeftArrow,2.04896772024222,0,1,68255c2,1501232505,0.2
14,\RIGHT,left,5,13,0.6,7,1482728.50379691,1482728.95405828,CAUGHT,RightArrow,0.324011351680383,1,0,68255c2,1501232505,0.2
14,\RIGHT,right,6,14,0.6,7,1482730.78515484,1482735.22792954,OK,LeftArrow,4.27433852176182,0,1,68255c2,1501232505,0.2
14,\RIGHT,left,3,15,0.6,9,1482737.13911254,1482737.779504,CAUGHT,RightArrow,0.456181454705074,1,0,68255c2,1501232505,0.2
14,\RIGHT,left,6,16,0.6,4,1482739.76069905,1482740.21098698,CAUGHT,RightArrow,0.314482103101909,1,0,68255c2,1501232505,0.2
