participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
25,\LEFT,right,9,1,0.6,3,2685597.22156973,2685616.06338692,OK,NO RESPONSE,NaN,0,1,68255c2,1621855450,0.2
25,\LEFT,left,3,2,0.6,3,2685617.16408331,2685628.16091332,OK,LeftArrow,10.8430339344777,1,0,68255c2,1621855450,0.2
25,\RIGHT,left,3,3,0.6,3,2685631.50306782,2685634.80513013,OK,RightArrow,3.14368933439255,1,0,68255c2,1621855450,0.2
25,\RIGHT,left,7,4,0.6,10,2685637.57687479,2685641.06905138,OK,RightArrow,3.34956242796034,1,0,68255c2,1621855450,0.2
25,\LEFT,left,10,5,0.6,9,2685643.3304842,2685647.20289447,OK,LeftArrow,3.74761503282934,1,0,68255c2,1621855450,0.2
25,\LEFT,right,8,6,0.6,8,2685649.71446682,2685652.91647447,OK,LeftArrow,3.05136677715927,0,1,68255c2,1621855450,0.2
25,\LEFT,right,4,7,0.6,7,2685655.41807471,2685657.95964731,OK,LeftArrow,2.41144826402888,0,1,68255c2,1621855450,0.2
25,\LEFT,right,1,8,0.6,3,2685659.88084839,2685662.33238221,OK,LeftArrow,2.3484489149414,0,1,68255c2,1621855450,0.2
25,\LEFT,left,9,9,0.6,4,2685664.48374449,2685667.11536977,OK,LeftArrow,2.51328110741451,1,0,68255c2,1621855450,0.2
25,\RIGHT,left,8,10,0.6,7,2685668.73638995,2685671.27793509,OK,LeftArrow,2.42844586027786,1,0,68255c2,1621855450,0.2
25,\LEFT,right,5,11,0.6,6,2685679.41309967,2685681.76455105,OK,LeftArrow,2.16719504958019,0,1,68255c2,1621855450,0.2
25,\RIGHT,right,4,12,0.6,6,2685683.89588761,2685686.05724162,OK,RightArrow,1.98814194882289,0,1,68255c2,1621855450,0.2
25,\RIGHT,left,1,13,0.6,8,2685688.04851312,2685690.39997869,OK,RightArrow,2.24330028425902,1,0,68255c2,1621855450,0.2
25,\LEFT,left,1,14,0.6,4,2685692.09068262,2685693.79209638,OK,LeftArrow,1.52093684813008,1,0,68255c2,1621855450,0.2
