participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
28,1,2,13,146,147,1,hinge,2,practice,name,CFS,go,present,NA,30,268680.707902785,268686.771892749,Return,rope,5.95278118539136,,3,1,1,0,0,68255c2,1622159548,0.2
28,1,2,13,146,147,1,hinge,2,practice,noise,CFS,go,present,\ENTER,4,268749.232839456,268753.245489961,OK,NO RESPONSE,NaN,,6,1,1,0,0,68255c2,1622159548,0.2
28,1,2,13,146,147,1,hinge,2,practice,noise,CFS,go,present,\ENTER,4,268756.607686716,268760.680346906,Return,Return,3.92343740945216,,6,1,2,0,0,68255c2,1622159548,0.2
28,1,2,13,146,147,1,hinge,2,practice,study,CFS,go,present,j,NaN,268198.761784781,268217.634091617,OK,NO RESPONSE,NaN,,4,0.6,1,0,0,68255c2,1622159548,0.2
28,1,2,13,146,147,1,hinge,2,practice,study,CFS,go,present,j,NaN,268440.760473516,268451.767660721,OK,j,10.8730334046413,2@,4,0.6,2,0,0,68255c2,1622159548,0.2
28,1,2,13,201,203,2,bellow,4,practice,name,CFS,go,present,NA,30,268686.902016764,268689.683764223,Return,NO RESPONSE,2.67859221354593,,5,1,1,0,0,68255c2,1622159548,0.2
28,1,2,13,201,203,2,bellow,4,practice,noise,CFS,go,present,\ENTER,4,268762.761745238,268766.774351673,OK,NO RESPONSE,NaN,,10,1,1,0,0,68255c2,1622159548,0.2
28,1,2,13,201,203,2,bellow,4,practice,noise,CFS,go,present,\ENTER,4,268768.885472309,268772.388066766,Return,Return,3.37345660751453,,10,1,2,0,0,68255c2,1622159548,0.2
28,1,2,13,201,203,2,bellow,4,practice,study,CFS,go,present,j,NaN,268221.566685543,268229.321750695,OK,f,7.63941666827304,,7,0.6,1,0,0,68255c2,1622159548,0.2
28,1,2,13,201,203,2,bellow,4,practice,study,CFS,go,present,j,NaN,268459.43271165,268469.109034808,OK,f,9.4884213868645,,7,0.6,2,0,0,68255c2,1622159548,0.2
28,1,2,13,40,88,3,cookie cutter,15,practice,name,Not Studied,go,absent,NA,30,268689.707181952,268689.713796836,OK,NO RESPONSE,NaN,,9,0,1,0,0,68255c2,1622159548,0.2
28,1,2,13,40,88,3,cookie cutter,15,practice,noise,Not Studied,go,absent,\ENTER,4,268774.480804339,268774.489416306,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1622159548,0.2
28,1,2,13,40,88,3,cookie cutter,15,practice,noise,Not Studied,go,absent,\ENTER,4,268778.33197035,268782.114422645,Return,Return,3.60674613137962,,9,1,2,0,0,68255c2,1622159548,0.2
28,1,2,13,40,88,3,cookie cutter,15,practice,study,Not Studied,go,absent,f,NaN,268232.333716289,268237.35703048,OK,f,4.89619334758027,,4,0,1,0,0,68255c2,1622159548,0.2
28,1,2,13,40,88,3,cookie cutter,15,practice,study,Not Studied,go,absent,f,NaN,268472.901560659,268484.949456236,OK,j,11.9232662568102,,4,0,2,0,0,68255c2,1622159548,0.2
28,1,2,13,14,139,4,binoculars,12,practice,name,Not Studied,go,present,NA,30,268689.843869535,268697.649017517,Return,headphone,7.69654633861501,,6,1,1,0,0,68255c2,1622159548,0.2
28,1,2,13,14,139,4,binoculars,12,practice,noise,Not Studied,go,present,\ENTER,4,268784.465948771,268788.478605012,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1622159548,0.2
28,1,2,13,14,139,4,binoculars,12,practice,noise,Not Studied,go,present,\ENTER,4,268790.850168074,268793.591987762,Return,Return,2.59214321762556,,9,1,2,0,0,68255c2,1622159548,0.2
28,1,2,13,14,139,4,binoculars,12,practice,study,Not Studied,go,present,f,NaN,268240.439078106,268247.913931947,OK,f,7.30262385780225,,2,0,1,0,0,68255c2,1622159548,0.2
